Inapc_1,iNapc1_BG,Inapc_2,iNapc2_BG,Inapc_3,iNapc3_BG,iNapc4,iNapc4_BG,iNapc5,iNapc5_BG,iNapc6,iNapc6_BG,iNapc7,iNapc7_BG,iNapc8,iNapc8_BG,iNapc9,iNapc9_BG,iNapc10,iNapc10_BG,iNapc11,iNapc11_BG,iNapc12,iNapc12_BG
9.955,0.062,11.537,0.076,10.348,0.076,20.359,0.118,14.633,1.391,7.189,0.031,11.733,0.062,23.054,0.312,10.259,0.172,19.176,0.091,9.552,0.148,7.451,1.136
9.883,0.132,11.341,0.09,10.468,0.09,20.006,0.083,14.621,1.172,7.388,0.047,12.135,0.047,23.028,0.406,10.397,0.156,19.192,0.148,9.49,0.227,7.415,1.33
9.773,0.076,11.273,0.056,10.212,0.056,20.004,0.062,14.697,1.359,7.24,0.078,12.233,0.031,22.544,0.219,10.153,0.109,19.124,0.08,9.138,0.25,7.466,1.08
9.621,0.083,11.3,0.111,10.311,0.111,19.643,0.09,14.2,1.234,7.28,0.031,11.97,0.031,22.352,0.203,10.276,0.094,18.882,0.216,9.009,0.216,7.368,1.17
9.722,0.111,11.288,0.118,10.276,0.118,19.551,0.097,14.287,1.281,7.13,0.094,12.628,0.109,22.415,0.281,10.197,0.078,18.851,0.136,9.292,0.182,7.316,1.227
9.587,0.097,11.233,0.097,10.162,0.097,19.299,0.069,13.922,1.141,7.285,0.109,12.339,0.094,22.024,0.188,10.14,0.141,18.486,0.057,9.119,0.25,7.234,1.091
9.523,0.083,11.004,0.097,10.066,0.097,19.846,0.062,13.641,1.281,5.04,0.109,12.184,0.094,21.768,0.266,9.879,0.078,18.069,0.125,8.892,0.182,7.14,0.943
9.473,0.083,10.903,0.062,9.936,0.062,19.709,0.09,13.464,0.391,6.955,0.062,12.056,0.047,21.405,0.266,9.931,0.109,17.841,0.159,8.747,0.273,7.162,1.239
9.376,0.111,10.883,0.069,9.878,0.069,19.525,0.111,13.965,1.188,7.292,0.062,11.81,0.109,21.319,0.297,9.901,0.094,17.987,0.091,8.859,0.216,7.013,1.114
9.334,0.062,10.768,0.09,9.86,0.09,19.268,0.09,13.454,1.328,6.984,0.078,11.878,0.094,21.171,0.141,9.854,0.141,18.35,0.091,8.759,0.068,7.079,1.216
9.322,0.111,10.857,0.104,9.879,0.104,19.533,0.062,13.707,1.453,6.655,0.062,11.68,0.047,21.171,0.312,9.798,0.078,17.972,0.114,8.564,0.159,7.107,0.943
9.214,0.076,10.67,0.083,9.818,0.083,18.744,0.076,13.365,1.219,7.129,0.141,11.98,0.062,21.064,0.156,9.725,0.203,17.84,0.08,8.742,0.25,6.945,0.898
9.228,0.125,10.669,0.118,9.618,0.118,19.023,0.104,13.561,1.266,7.302,0.047,11.771,0.109,20.591,0.266,9.726,0.062,17.874,0.182,8.794,0.182,6.919,1.011
9.12,0.076,10.499,0.056,9.633,0.056,19.158,0.153,13.142,1.281,7.05,0.062,11.438,0.062,20.589,0.312,9.668,0.141,18.014,0.125,8.7,0.25,6.964,0.818
9.038,0.09,10.312,0.146,9.612,0.146,19.197,0.153,12.784,1.5,7.292,0.047,11.768,0.078,20.672,0.203,9.683,0.219,17.57,0.091,8.682,0.159,6.912,0.784
8.97,0.083,10.415,0.09,9.451,0.09,18.971,0.083,12.856,1.172,7.234,0.078,11.904,0.109,20.589,0.266,9.546,0.188,17.508,0.102,8.743,0.136,6.833,0.966
8.962,0.097,10.239,0.062,9.409,0.062,18.752,0.056,12.769,1,7.206,0.141,11.808,0.078,20.293,0.297,9.451,0.188,17.672,0.114,8.521,0.193,6.829,0.852
8.911,0.076,10.242,0.083,9.368,0.083,19.176,0.062,12.538,1.156,7.167,0.078,10.942,0.078,20.154,0.344,9.501,0.156,17.535,0.114,8.61,0.261,6.832,0.966
8.85,0.069,10.317,0.056,9.245,0.056,18.773,0.09,12.728,1.188,7.127,0.094,12.014,0.047,20.109,0.203,9.506,0.109,17.372,0.159,8.539,0.182,6.735,0.898
8.789,0.111,10.272,0.104,9.282,0.104,19.387,0.097,12.528,1.125,7.223,0.047,11.617,0.062,20.26,0.297,9.488,0.094,17.407,0.091,8.456,0.182,6.758,0.977
8.843,0.09,10.308,0.083,9.14,0.083,19.014,0.056,12.392,1.062,7.107,0.094,12.109,0.109,19.881,0.188,9.418,0.094,17.21,0.159,8.398,0.239,6.681,0.67
8.791,0.125,10.342,0.09,9.323,0.09,18.881,0.069,12.565,1.188,7.254,0.109,12.216,0.094,19.602,0.219,9.37,0.094,16.877,0.136,8.297,0.136,6.677,0.841
