Inap1__1,iNap1_1_BG,Inap1__2,iNap1_2_BG,Inap1__3,iNap1_3_BG,iNap1_4,iNap1_4_BG,iNap1_5,iNap1_5_BG,iNap1_6,iNap1_6_BG,iNap1_7,iNap1_7_BG,iNap1_8,iNap1_8_BG,iNap1_9,iNap1_9_BG,iNap1_10,iNap1_10_BG,iNap1_11,iNap1_11_BG,iNap1_12,iNap1_12_BG,INap1_13,INap1_13_BG,INap1_14,INap1_14_BG,INap1_15,INap1_15_BG
24.432,0.159,39.82,0.083,29.46,0.062,18.975,0.062,21.146,0.062,16.125,0.021,11.732,0.021,15.447,0.083,17.431,0.125,24.675,0.271,32.525,0.278,32.528,0.278,27.43,0.12,30.421,0.12,12.671,0.143
24.023,0.053,39.651,0.098,28.625,0.083,18.953,0.083,21.158,0.083,15.892,0.042,11.764,0.042,15.361,0.104,14.816,0.188,24.612,0.167,31.067,0.417,33.784,0.417,27.432,0.176,30.524,0.176,12.69,0.082
23.923,0.129,39.162,0.053,28.523,0.083,19.184,0.083,20.892,0.083,15.567,0.021,11.598,0.021,15,0,16.291,0.125,24.357,0.083,30.482,0.343,34.859,0.343,27.448,0.157,30.89,0.157,12.571,0.122
23.852,0.174,39.124,0.098,28.557,0.062,18.876,0.062,20.58,0.062,15.458,0.021,11.496,0.021,14.564,0.146,16.569,0.021,23.97,0.104,29.626,0.296,34.673,0.296,27.404,0.13,30.98,0.13,12.425,0.102
23.697,0.129,38.083,0.098,27.976,0.125,18.447,0.125,20.315,0.125,15.083,0.104,11.344,0.104,14.914,0.146,16.338,0.188,24.431,0.104,29.845,0.333,34.967,0.333,27.279,0.13,31.03,0.13,12.153,0.061
23.176,0.091,38.27,0.152,27.916,0.083,18.582,0.083,19.866,0.083,14.9,0.146,11.252,0.146,14.812,0.125,16.138,0.146,23.563,0.104,30.158,0.352,35.093,0.352,27.494,0.139,31.32,0.139,12.249,0.02
23.379,0.121,37.628,0.121,27.673,0.125,18.083,0.125,19.806,0.125,14.777,0.021,11.114,0.021,14.695,0.062,16.363,0.208,24.457,0.083,30.422,0.389,35.261,0.389,27.029,0.111,31.287,0.111,12.254,0.143
22.935,0.129,37.496,0.053,27.037,0.104,18.044,0.104,19.702,0.104,14.786,0.167,11.04,0.167,14.517,0.062,16.038,0.146,23.992,0.062,29.838,0.472,35.218,0.472,26.896,0.139,31.499,0.139,11.958,0.102
22.852,0.182,37.336,0.121,26.151,0,18.268,0,19.144,0,14.557,0,11.018,0,14.398,0.104,15.904,0.062,24.078,0.104,29.13,0.343,35.585,0.343,26.586,0.111,31.712,0.111,12.014,0.082
22.747,0.098,32.02,0.121,26.694,0.188,17.919,0.188,19.158,0.188,14.286,0.083,11.053,0.083,14.379,0.083,15.825,0.146,23.788,0.104,29.046,0.296,35.713,0.296,26.777,0.12,31.821,0.12,12.089,0.102
22.662,0.114,36.94,0.129,26.959,0.125,17.98,0.125,19.023,0.125,13.801,0.146,10.958,0.146,14.072,0.062,15.594,0.021,23.435,0.062,28.694,0.287,35.784,0.287,27.082,0.12,31.836,0.12,11.927,0.143
22.477,0.061,36.904,0.114,26.871,0.042,17.977,0.042,19.119,0.042,13.877,0.104,10.785,0.104,14.087,0.062,15.279,0.188,23.896,0.25,28.694,0.407,36.121,0.407,27.312,0.102,31.925,0.102,11.97,0.163
22.48,0.121,20.518,0.136,26.833,0.188,17.811,0.188,18.894,0.188,13.836,0.042,10.8,0.042,14.061,0.062,15.065,0.167,23.87,0.042,27.967,0.278,36.327,0.278,27.561,0.093,32.042,0.093,11.863,0.102
22.319,0.144,36.524,0.076,26.384,0.104,17.715,0.104,18.648,0.104,13.632,0.104,10.817,0.104,13.916,0.062,14.789,0.167,23.879,0.062,28.024,0.204,36.53,0.204,28.002,0.12,32.299,0.12,11.679,0.082
22.142,0.045,36.253,0.098,26.205,0.083,17.694,0.083,18.566,0.083,13.505,0.021,10.53,0.021,13.904,0.062,14.986,0.083,24.185,0.042,27.53,0.213,37.804,0.213,27.9,0.093,32.478,0.093,11.689,0.102
21.746,0.098,18.261,0.121,25.941,0.062,17.303,0.062,18.552,0.062,13.328,0.104,10.638,0.104,13.845,0.062,14.639,0.146,23.851,0.042,27.429,0.157,37.519,0.157,27.781,0.111,32.742,0.111,11.791,0.143
21.727,0.114,35.703,0.106,25.611,0.146,17.318,0.146,18.209,0.146,13.084,0.104,10.518,0.104,13.883,0.083,14.459,0.271,22.849,0.083,27.217,0.222,38.15,0.222,28.472,0.194,33.035,0.194,11.623,0.163
21.544,0.076,35.198,0.083,25.676,0.146,17.398,0.146,18.217,0.146,13.353,0,10.62,0,13.826,0.104,14.357,0.146,20.081,0.042,27.495,0.259,38.356,0.259,28.516,0.222,33.114,0.222,11.49,0.143
21.625,0.091,23.07,0.144,25.207,0.042,17.498,0.042,18.162,0.042,13.036,0.062,10.331,0.062,13.747,0.125,14.311,0.083,14.783,0.042,27.722,0.287,38.484,0.287,28.577,0.157,33.395,0.157,11.394,0.204
21.376,0.091,35.048,0.061,24.995,0.146,17.48,0.146,18.238,0.146,12.759,0.083,10.312,0.083,13.776,0.146,14.193,0.062,6.654,0.125,27.498,0.269,39.223,0.269,28.745,0.139,33.283,0.139,11.365,0.082
21.31,0.144,34.824,0.076,25.047,0.021,17.211,0.021,18.06,0.021,12.59,0.062,10.303,0.062,13.555,0.062,13.995,0.167,2.573,0.208,27.372,0.324,39.448,0.324,28.387,0.176,33.503,0.176,11.46,0.061
21.023,0.114,34.41,0.076,24.722,0.083,17.032,0.083,17.888,0.083,12.553,0.062,10.357,0.062,13.587,0.104,13.945,0.083,5.051,0.062,27.468,0.241,39.556,0.241,28.514,0.102,33.198,0.102,11.402,0.184
21.044,0.136,34.213,0.106,24.92,0.042,17.156,0.042,17.565,0.042,12.509,0.104,10.164,0.104,13.659,0.125,13.938,0.208,6.541,0.208,27.489,0.296,39.856,0.296,28.698,0.13,33.283,0.13,11.321,0.102
20.817,0.121,33.82,0.159,24.551,0.104,16.855,0.104,17.69,0.104,12.344,0.083,10.174,0.083,13.434,0.125,13.824,0.188,4.304,0.229,27.529,0.343,40.388,0.343,28.976,0.148,33.528,0.148,11.091,0.184
20.937,0.121,33.817,0.106,24.37,0.125,16.862,0.125,17.444,0.125,12.269,0.062,9.987,0.062,13.531,0.146,13.719,0.146,8.784,0.042,27.732,0.25,41.239,0.25,28.944,0.074,33.784,0.074,11.05,0.122
20.722,0.083,33.938,0.114,24.163,0.083,16.954,0.083,17.601,0.083,12.139,0.042,10.178,0.042,13.395,0.125,13.515,0.062,11.546,0.104,27.588,0.185,41.473,0.185,29.147,0.139,33.913,0.139,11.127,0.122
20.826,0.098,33.518,0.152,24.339,0.042,16.938,0.042,17.525,0.042,12.281,0.146,9.97,0.146,13.5,0.083,13.397,0.208,13.405,0.104,28.178,0.315,42.218,0.315,29.267,0.12,33.816,0.12,11.234,0.163
20.728,0.106,33.186,0.098,24.241,0,16.916,0,17.572,0,12.256,0.125,10.038,0.125,13.657,0.062,13.434,0.125,15.682,0.167,28.578,0.259,42.004,0.259,29.345,0.13,33.928,0.13,11.09,0.143
