Inap1__1,iNap1_1_BG,Inap1__2,iNap1_2_BG,Inap1__3,iNap1_3_BG,iNap1_4,iNap1_4_BG,iNap1_5,iNap1_5_BG,iNap1_6,iNap1_6_BG,iNap1_7,iNap1_7_BG,iNap1_8,iNap1_8_BG,iNap1_9,iNap1_9_BG,iNap1_10,iNap1_10_BG,iNap1_11,iNap1_11_BG,iNap1_12,iNap1_12_BG,INap1_13,INap1_13_BG,INap1_14,INap1_14_BG,INap1_15,INap1_15_BG
18.312,0.25,16.532,0.235,21.764,0.188,14.115,0.188,13.533,0.188,8.284,0.271,6.166,0.271,12.308,0.208,9.787,0.458,6.144,0.375,18.116,0.593,25.517,0.593,23.004,0.278,24.794,0.278,6.396,0.367
18.411,0.273,16.892,0.174,21.573,0.271,14.155,0.271,13.539,0.271,8.127,0.146,6.106,0.146,12.622,0.125,9.834,0.479,4.573,0.5,18.201,0.657,25.901,0.657,23.384,0.407,25.216,0.407,6.355,0.388
18.276,0.167,16.911,0.205,21.565,0.208,14.125,0.208,13.926,0.208,8.173,0.208,6.129,0.208,12.753,0.229,9.905,0.625,3.771,0.562,18.382,0.565,26.378,0.565,23.607,0.528,25.321,0.528,6.463,0.551
18.485,0.189,17.081,0.189,21.495,0.167,14.248,0.167,13.999,0.167,8.382,0.167,6.076,0.167,12.809,0.271,9.87,0.521,3.439,0.479,18.313,0.509,26.34,0.509,24.307,0.361,25.475,0.361,6.518,0.449
18.609,0.22,17.299,0.28,21.539,0.167,14.227,0.167,14.32,0.167,8.389,0.208,6.156,0.208,12.937,0.125,9.901,0.354,3.263,0.458,18.323,0.713,26.762,0.713,25.112,0.472,25.52,0.472,6.528,0.51
18.61,0.235,17.561,0.212,21.51,0.208,14.13,0.208,14.396,0.208,8.422,0.146,6.058,0.146,12.981,0.25,10.076,0.521,3.648,0.521,18.204,0.657,27.612,0.657,25.77,0.611,25.892,0.611,6.777,0.469
18.436,0.303,18.019,0.258,21.49,0.229,14.071,0.229,14.374,0.229,8.09,0.125,6.156,0.125,13.08,0.25,10.289,0.417,3.922,0.562,18.359,0.537,28.042,0.537,25.886,0.37,26.017,0.37,6.899,0.449
18.44,0.159,18.008,0.273,21.562,0.167,13.806,0.167,14.272,0.167,8.316,0.25,6.126,0.25,13.219,0.167,10.222,0.438,4.242,0.562,18.379,0.472,28.651,0.472,25.905,0.593,26.318,0.593,6.87,0.49
18.453,0.152,18.587,0.212,21.649,0.125,13.97,0.125,14.145,0.125,8.322,0.125,6.05,0.125,13.48,0.25,10.357,0.479,4.684,0.729,18.446,0.593,29.715,0.593,26.286,0.435,25.962,0.435,6.985,0.673
18.501,0.295,18.806,0.136,21.524,0.25,13.616,0.25,14.217,0.25,8.383,0.167,6.122,0.167,13.533,0.188,10.221,0.312,5.713,0.5,18.368,0.713,30.033,0.713,26.589,0.463,25.983,0.463,6.858,0.51
18.371,0.227,19.331,0.258,21.666,0.229,13.747,0.229,14.125,0.229,8.678,0.146,6.224,0.146,13.563,0.167,10.311,0.479,6.034,0.354,18.752,0.5,30.634,0.5,26.314,0.426,26.145,0.426,6.722,0.367
18.46,0.22,19.478,0.318,21.117,0.208,13.515,0.208,14.169,0.208,8.657,0.083,6.053,0.083,13.601,0.292,10.361,0.5,6.537,0.583,19.159,0.444,31.755,0.444,26.629,0.593,26.106,0.593,6.879,0.286
18.142,0.242,19.771,0.273,21.277,0.104,13.215,0.104,14.043,0.104,8.509,0.125,6.138,0.125,13.567,0.167,10.491,0.458,7.115,0.5,19.321,0.62,31.576,0.62,27.17,0.463,25.975,0.463,6.76,0.449
18.056,0.326,20.349,0.159,21.283,0.167,13.478,0.167,14.008,0.167,8.244,0.229,6.141,0.229,13.699,0.271,10.378,0.438,7.159,0.354,20.269,0.657,32.58,0.657,27.795,0.444,26.513,0.444,6.812,0.449
17.955,0.174,20.415,0.258,21.262,0.104,13.006,0.104,13.935,0.104,8.646,0.062,6.058,0.062,13.537,0.25,10.443,0.521,6.922,0.396,20.527,0.667,33.102,0.667,27.808,0.491,26.542,0.491,6.995,0.469
18.009,0.212,20.657,0.227,20.977,0.188,12.907,0.188,13.678,0.188,8.604,0.271,6.005,0.271,13.803,0.271,10.519,0.438,6.45,0.396,20.943,0.519,33.841,0.519,27.863,0.435,27.075,0.435,6.778,0.408
17.77,0.197,20.997,0.25,21.022,0.271,12.88,0.271,13.53,0.271,8.425,0.208,5.96,0.208,13.85,0.396,10.588,0.583,6.335,0.438,21.652,0.5,34.265,0.5,28.245,0.333,26.792,0.333,6.839,0.449
17.899,0.258,21.243,0.303,21.045,0.208,12.831,0.208,13.51,0.208,8.785,0.375,5.927,0.375,13.78,0.104,10.602,0.479,5.881,0.521,22.288,0.5,34.823,0.5,28.588,0.528,26.839,0.528,6.839,0.49
17.61,0.288,21.501,0.212,20.927,0.146,12.699,0.146,13.284,0.146,8.859,0.271,5.966,0.271,13.899,0.208,10.508,0.708,5.696,0.438,22.58,0.639,35.044,0.639,28.666,0.519,26.934,0.519,6.961,0.633
17.735,0.25,21.681,0.318,21.16,0.208,12.539,0.208,13.096,0.208,8.669,0.188,5.994,0.188,14.045,0.25,10.578,0.458,5.129,0.667,23.085,0.444,35.744,0.444,28.835,0.454,25.949,0.454,6.879,0.49
17.44,0.189,22.027,0.25,21.029,0.125,12.619,0.125,12.908,0.125,8.669,0.083,6.042,0.083,13.905,0.25,10.647,0.583,4.698,0.5,23.715,0.602,35.812,0.602,27.88,0.528,27.054,0.528,6.86,0.49
17.492,0.242,22.146,0.25,20.845,0.188,12.326,0.188,12.935,0.188,8.752,0.333,6.03,0.333,14.069,0.25,10.538,0.417,4.174,0.521,23.779,0.5,35.865,0.5,28.856,0.278,26.88,0.278,6.918,0.408
17.441,0.273,22.22,0.205,20.888,0.188,12.14,0.188,12.756,0.188,8.789,0.104,5.977,0.104,13.967,0.146,10.601,0.5,3.991,0.438,24.213,0.676,36.208,0.676,29.179,0.528,26.962,0.528,6.948,0.469
17.34,0.235,22.209,0.288,20.731,0.188,12.152,0.188,12.655,0.188,8.686,0.229,5.977,0.229,14.07,0.292,10.521,0.375,3.639,0.396,25.128,0.676,36.894,0.676,28.892,0.472,27.07,0.472,6.955,0.306
