6-Pgd_1-488,6-Pgd_1-BG,6-Pgd_1-568,6-Pgd_1-BG,6-Pgd_2-488,6-Pgd_2-BG,6-Pgd_2-568,6-Pgd_2-BG,6-Pgd_3-488,6-Pgd_3-BG,6-Pgd_3-568,6-Pgd_3-BG,6-Pgd_4-488,6-Pgd_4-BG,6-Pgd_4-568,6-Pgd_4-BG,6-Pgd_5-488,6-Pgd_5-BG,6-Pgd_5-568,6-Pgd_5-BG,6-Pgd_6-488,6-Pgd_6-BG,6-Pgd_6-568,6-Pgd_6-BG,6-Pgd_7-488,6-Pgd_7-BG,6-Pgd_7-568,6-Pgd_7-BG,6-Pgd_8-488,6-Pgd_8-BG,6-Pgd_8-568,6-Pgd_8-BG,6-Pgd_9-488,6-Pgd_9-BG,6-Pgd_9-568,6-Pgd_9-BG,6-Pgd_10-488,6-Pgd_10-BG,6-Pgd_10-568,6-Pgd_10-BG,6-Pgd_10-488,6-Pgd_10-BG,6-Pgd_10-568,6-Pgd_10-BG,6-Pgd_11-488,6-Pgd_11-BG,6-Pgd_11-568,6-Pgd_11-BG,6-Pgd_11-488,6-Pgd_11-BG,6-Pgd_11-568,6-Pgd_11-BG,6-Pgd_12-488,6-Pgd_12-BG,6-Pgd_12-568,6-Pgd_12-BG,6-Pgd_13-488,6-Pgd_13-BG,6-Pgd_13-568,6-Pgd_13-BG,6-Pgd_14-488,6-Pgd_14-BG,6-Pgd_14-568,6-Pgd_14-BG,6-Pgd_1-488,6-Pgd_1-BG,6-Pgd_1-568,6-Pgd_1-BG,6-Pgd_2-488,6-Pgd_2-BG,6-Pgd_2-568,6-Pgd_2-BG,6-Pgd_3-488,6-Pgd_3-BG,6-Pgd_3-568,6-Pgd_3-BG,6-Pgd_4-488,6-Pgd_4-BG,6-Pgd_4-568,6-Pgd_4-BG,6-Pgd_5-488,6-Pgd_5-BG,6-Pgd_5-568,6-Pgd_5-BG
25.267,0.311,7.229,0.511,22.827,0.311,9.62,0.511,26.908,0.536,7.643,0.428,33.85,0.619,10.138,0.617,36.694,0.619,8.215,0.617,19.311,0.033,18.684,0.117,7.124,0.028,4.472,0.044,30.028,0.061,19.071,0.194,35.107,2.447,17.55,1.225,26.308,0.075,14.3,0.169,22.752,0.075,13.123,0.169,21.033,0.736,8.91,0.711,20.997,0.736,10.063,0.711,20.111,0.064,11.11,0.211,15.186,0.031,9.431,0.144,21.674,0.014,9.211,0.058,29.996,0.263,9.479,0.451,24.168,0.329,10.246,0.612,17.111,0.261,11.078,0.56,10.657,0.048,6.858,0.082,11.978,0.141,6.554,0.177
25.266,0.289,7.123,0.469,22.993,0.289,9.37,0.469,26.942,0.611,7.628,0.478,33.872,0.594,10.297,0.656,36.636,0.594,8.038,0.656,19.298,0.025,18.271,0.111,7.192,0.025,4.44,0.056,30.114,0.047,18.8,0.244,35.108,2.433,17.204,1.164,26.257,0.097,13.86,0.172,22.919,0.097,12.908,0.172,21.167,0.756,8.954,0.514,20.762,0.756,9.904,0.514,20.001,0.05,10.933,0.197,15.19,0.044,9.299,0.122,21.582,0.031,8.965,0.061,29.938,0.259,9.191,0.365,24.174,0.302,10.094,0.585,17.066,0.256,10.946,0.556,10.56,0.027,6.796,0.084,12.039,0.138,6.523,0.136
25.38,0.283,6.991,0.475,23.159,0.283,9.26,0.475,26.96,0.625,7.647,0.417,33.897,0.581,10.216,0.614,36.698,0.581,7.983,0.614,19.41,0.039,17.992,0.125,7.209,0.025,4.359,0.058,30.258,0.078,18.482,0.183,35.462,2.428,16.843,1.353,26.618,0.042,13.672,0.167,22.928,0.042,12.512,0.167,21.667,0.792,9.038,0.644,20.883,0.792,9.87,0.644,19.927,0.069,10.717,0.231,15.07,0.042,9.033,0.125,21.618,0.022,8.806,0.081,30.066,0.245,8.988,0.447,24.128,0.286,9.892,0.549,17.024,0.231,10.791,0.551,10.71,0.036,6.625,0.102,12.027,0.104,6.312,0.204
25.49,0.35,6.844,0.483,23.344,0.35,9.123,0.483,26.803,0.697,7.566,0.503,33.9,0.658,10.246,0.614,36.684,0.658,7.913,0.614,19.339,0.019,17.593,0.072,7.204,0.036,4.35,0.083,30.255,0.067,18.185,0.203,35.277,2.506,16.344,1.194,26.405,0.083,13.216,0.153,23.053,0.083,12.308,0.153,20.826,0.789,8.63,0.569,20.808,0.789,9.809,0.569,19.882,0.056,10.584,0.25,14.974,0.044,8.835,0.078,21.511,0.008,8.71,0.056,29.813,0.268,8.785,0.385,24.116,0.356,9.708,0.553,17.085,0.281,10.775,0.517,10.66,0.036,6.531,0.075,11.827,0.116,6.075,0.202
25.373,0.253,6.807,0.514,23.235,0.253,9.024,0.514,26.861,0.592,7.556,0.461,33.756,0.556,10.357,0.717,36.659,0.556,7.925,0.717,19.381,0.022,17.252,0.081,7.265,0.019,4.259,0.033,30.162,0.081,17.74,0.183,35.708,2.364,16.145,1.289,26.427,0.094,12.882,0.153,23.176,0.094,12.181,0.153,20.879,0.744,8.585,0.581,20.831,0.744,9.728,0.581,19.758,0.05,10.458,0.169,14.976,0.05,8.709,0.1,21.376,0.025,8.52,0.086,29.959,0.252,8.645,0.385,24.222,0.27,9.635,0.501,17.172,0.247,10.689,0.605,10.633,0.036,6.489,0.068,11.737,0.113,5.893,0.163
25.539,0.269,6.693,0.497,23.415,0.269,8.886,0.497,27.036,0.567,7.52,0.478,33.997,0.661,10.463,0.694,36.735,0.661,7.786,0.694,19.387,0.036,16.92,0.103,7.196,0.031,4.257,0.044,30.319,0.075,17.623,0.2,35.647,2.322,15.951,1.269,26.541,0.069,12.641,0.169,22.799,0.069,11.874,0.169,20.897,0.747,8.539,0.517,20.846,0.747,9.705,0.517,19.734,0.061,10.299,0.167,14.898,0.053,8.571,0.089,21.429,0.028,8.428,0.05,29.751,0.259,8.535,0.385,24.133,0.297,9.515,0.463,17.011,0.234,10.525,0.574,10.561,0.041,6.533,0.059,11.727,0.104,5.848,0.156
25.493,0.236,6.606,0.497,23.247,0.236,8.874,0.497,26.881,0.636,7.508,0.444,33.95,0.597,10.453,0.628,36.674,0.597,7.755,0.628,19.346,0.033,16.533,0.1,7.26,0.014,4.243,0.05,30.404,0.067,17.445,0.197,35.6,2.497,15.632,1.219,26.576,0.064,12.286,0.156,23.135,0.064,11.844,0.156,20.937,0.822,8.544,0.628,20.921,0.822,9.705,0.628,19.725,0.089,10.126,0.181,14.988,0.044,8.501,0.125,21.444,0.028,8.41,0.064,29.862,0.218,8.414,0.383,24.17,0.206,9.429,0.562,17.03,0.274,10.581,0.601,11.025,0.05,6.647,0.063,11.641,0.104,5.671,0.163
25.456,0.353,6.539,0.519,23.228,0.353,8.739,0.519,27.058,0.631,7.462,0.397,33.924,0.619,10.588,0.664,36.945,0.619,7.68,0.664,19.373,0.036,16.271,0.086,7.338,0.033,4.186,0.069,30.487,0.078,17.366,0.192,35.746,2.403,15.485,1.261,26.786,0.1,12.347,0.167,22.932,0.1,11.58,0.167,20.981,0.817,8.56,0.619,20.921,0.817,9.697,0.619,19.694,0.039,9.975,0.189,14.944,0.044,8.37,0.117,21.579,0.011,8.324,0.086,29.599,0.22,8.278,0.37,23.99,0.256,9.286,0.472,17.011,0.234,10.556,0.542,10.186,0.045,6.319,0.075,11.557,0.15,5.462,0.179
25.503,0.289,6.494,0.481,23.288,0.289,8.679,0.481,27.187,0.642,7.463,0.386,34.136,0.617,10.622,0.689,37.119,0.617,7.72,0.689,19.485,0.025,16.031,0.114,7.319,0.014,4.147,0.053,30.401,0.056,17.093,0.158,35.698,2.272,15.216,1.303,26.673,0.1,11.978,0.131,22.896,0.1,11.455,0.131,20.69,0.708,8.388,0.608,20.755,0.708,9.69,0.608,19.617,0.061,9.886,0.128,14.96,0.031,8.296,0.122,21.646,0.028,8.379,0.092,29.64,0.231,8.227,0.336,23.985,0.254,9.266,0.413,17.032,0.254,10.437,0.54,10.46,0.045,6.398,0.077,11.364,0.145,5.333,0.138
25.439,0.292,6.46,0.475,23.218,0.292,8.651,0.475,27.213,0.656,7.445,0.433,34.213,0.611,10.66,0.642,37.094,0.611,7.682,0.642,19.362,0.022,15.714,0.078,7.374,0.025,4.211,0.056,30.481,0.056,17.035,0.236,35.864,2.444,15.139,1.428,26.64,0.086,12.068,0.183,22.59,0.086,11.216,0.183,20.63,0.717,8.454,0.617,20.639,0.717,9.701,0.617,19.338,0.056,9.877,0.169,14.884,0.056,8.266,0.094,21.612,0.022,8.303,0.069,29.717,0.24,8.121,0.342,24.155,0.236,9.235,0.458,17.033,0.245,10.442,0.574,10.433,0.036,6.196,0.086,11.397,0.107,5.249,0.195
