kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_5-488,kl-3_5-BG,ND42_5-568,kl-3_5-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG
19.931,0.042,5.735,0.078,28.416,0.429,13.732,0.52,27.45,0.429,10.441,0.52,30.851,1.202,9.238,0.622,25.15,0.089,12.719,0.142,23.202,0.865,11.815,0.671,27.167,0.411,11.871,0.54,29.533,0.411,21.726,0.54,13.143,0.031,4.692,0.113,17.636,0.031,7.679,0.113,21.105,1.989,5.2,3.556,27.057,0.252,22.763,0.757,23.585,0.178,12.218,0.227,11.901,0.114,7.841,0.138,73.336,0.178,30.386,0.341
19.962,0.035,5.574,0.058,28.371,0.376,13.334,0.485,27.472,0.376,10.124,0.485,31.143,1.304,9.464,0.667,25.201,0.053,12.316,0.129,23.091,0.876,11.533,0.662,27.162,0.344,11.745,0.465,29.435,0.344,21.117,0.465,12.82,0.027,4.439,0.116,17.386,0.027,7.35,0.116,20.089,1.967,4.968,3.484,27.438,0.312,23.115,0.681,23.486,0.2,11.936,0.226,12.263,0.091,8.204,0.101,73.054,0.181,30.118,0.318
19.941,0.022,5.493,0.056,28.281,0.447,12.985,0.542,27.564,0.447,9.993,0.542,31.019,1.247,9.527,0.676,25.079,0.069,11.943,0.164,23.104,0.807,11.449,0.705,26.931,0.342,11.478,0.425,29.573,0.342,20.586,0.425,12.974,0.031,4.475,0.076,17.136,0.031,7.145,0.076,20.722,1.616,5.035,2.739,27.943,0.284,23.377,0.755,23.275,0.182,11.716,0.179,12.05,0.136,7.874,0.118,73.211,0.21,29.577,0.344
20.138,0.025,5.43,0.076,27.958,0.46,12.586,0.458,27.736,0.46,9.816,0.458,31.31,1.167,9.672,0.693,25.285,0.049,11.717,0.187,23.06,0.798,11.37,0.725,26.473,0.382,11.32,0.469,29.318,0.382,20.102,0.469,13.095,0.031,4.512,0.093,17.02,0.031,6.711,0.093,19.583,1.85,4.763,3.389,28.327,0.31,23.579,0.668,23.228,0.237,11.553,0.216,11.987,0.094,7.804,0.13,72.894,0.229,29.278,0.378
20.026,0.038,5.325,0.056,27.721,0.356,12.225,0.5,27.658,0.356,9.518,0.5,31.453,1.26,9.815,0.658,24.902,0.065,11.101,0.178,22.843,0.8,11.281,0.687,26.531,0.345,10.948,0.413,29.307,0.345,19.758,0.413,13.139,0.024,4.444,0.098,16.875,0.024,6.563,0.098,19.135,1.917,4.665,3.321,28.844,0.266,24.078,0.752,22.933,0.173,11.48,0.179,11.407,0.105,7.103,0.114,72.933,0.253,28.917,0.378
19.95,0.035,5.228,0.073,27.679,0.384,12.046,0.455,27.799,0.384,9.456,0.455,31.338,1.304,9.931,0.653,25.132,0.067,10.913,0.167,22.914,0.844,11.054,0.675,26.407,0.378,10.829,0.505,29.142,0.378,19.236,0.505,13.142,0.027,4.478,0.113,16.618,0.027,6.374,0.113,18.885,1.821,4.585,2.832,29.312,0.326,24.412,0.743,22.825,0.176,11.222,0.195,11.753,0.12,7.388,0.118,71.858,0.248,28.098,0.442
20.041,0.029,5.181,0.076,27.291,0.387,11.698,0.453,27.652,0.387,9.293,0.453,31.372,1.258,10.068,0.733,24.966,0.085,10.584,0.138,22.919,0.805,10.871,0.687,26.324,0.344,10.813,0.418,29.277,0.344,19.03,0.418,13.222,0.033,4.395,0.1,16.676,0.033,6.12,0.1,19.175,1.832,4.604,3.016,29.34,0.299,24.686,0.786,22.689,0.165,11.135,0.189,11.369,0.118,7.07,0.103,69.825,0.258,26.94,0.371
20.025,0.056,5.2,0.08,27.435,0.376,11.69,0.471,27.686,0.376,9.188,0.471,31.682,1.16,10.233,0.665,24.898,0.085,10.421,0.156,22.826,0.805,10.649,0.684,26.404,0.342,10.891,0.505,29.229,0.342,18.793,0.505,13.272,0.018,4.52,0.14,16.561,0.018,6.148,0.14,18.984,1.708,4.641,2.799,29.446,0.295,24.978,0.821,22.559,0.168,11.092,0.205,11.874,0.111,7.469,0.109,68.828,0.227,26.164,0.4
19.898,0.049,5.079,0.058,27.366,0.458,11.502,0.498,27.592,0.458,9.122,0.498,31.804,1.327,10.354,0.738,24.847,0.076,10.158,0.16,22.677,0.725,10.561,0.635,26.33,0.342,10.741,0.384,29.093,0.342,18.492,0.384,13.194,0.022,4.482,0.095,16.66,0.022,6.013,0.095,18.783,1.639,4.594,2.683,29.61,0.361,25.219,0.768,22.503,0.17,11.018,0.174,11.894,0.071,7.445,0.101,70.089,0.302,26.215,0.411
19.851,0.04,5.06,0.069,27.088,0.44,11.304,0.467,27.581,0.44,9.005,0.467,32.131,1.216,10.591,0.68,25.151,0.062,10.086,0.16,22.845,0.818,10.46,0.678,26.518,0.329,10.611,0.469,29.275,0.329,18.275,0.469,13.263,0.018,4.442,0.08,16.706,0.018,6.049,0.08,18.698,1.763,4.611,2.971,29.913,0.346,25.795,0.73,22.176,0.176,11.005,0.178,11.662,0.123,7.27,0.101,68.761,0.264,25.42,0.365
19.79,0.04,5,0.082,26.96,0.429,11.231,0.493,27.627,0.429,8.922,0.493,32.262,1.242,10.748,0.702,25.074,0.069,9.887,0.156,22.578,0.871,10.387,0.627,26.42,0.304,10.661,0.429,29.098,0.304,18.124,0.429,12.946,0.042,4.389,0.14,16.542,0.042,5.983,0.14,18.738,1.806,4.68,3.12,30.026,0.315,26.025,0.832,21.963,0.163,10.928,0.171,11.466,0.107,7.084,0.103,70.128,0.269,25.454,0.376
19.958,0.036,4.973,0.069,26.787,0.431,11.004,0.478,27.761,0.431,8.937,0.478,32.181,1.307,10.794,0.676,24.855,0.075,9.677,0.18,22.45,0.791,10.294,0.7,26,0.333,10.397,0.389,29.107,0.333,17.739,0.389,13.411,0.035,4.46,0.104,16.449,0.035,5.912,0.104,18.667,1.812,4.683,3.036,30.48,0.33,26.386,0.806,21.813,0.179,10.792,0.181,11.688,0.161,7.364,0.116,67.559,0.282,24.595,0.413
19.928,0.038,4.936,0.055,26.807,0.444,10.955,0.458,27.755,0.444,8.896,0.458,32.268,1.255,10.893,0.693,24.782,0.065,9.546,0.138,22.387,0.835,10.13,0.658,26.07,0.304,10.65,0.455,28.906,0.304,17.581,0.455,13.334,0.033,4.613,0.129,16.647,0.033,5.843,0.129,18.586,1.851,4.705,3.141,30.61,0.362,26.839,0.862,21.444,0.168,10.617,0.179,11.597,0.136,7.292,0.103,67.411,0.325,24.328,0.395
