G6Pdh_KK_1-405,G6Pdh_KK_1-BG,G6Pdh_KK_1-568,G6Pdh_KK_1-BG,G6Pdh_KK_2-405,G6Pdh_KK_2-BG,G6Pdh_KK-568,G6Pdh_KK-BG,G6Pdh_KK-405,G6Pdh_KK-BG,G6Pdh_KK_3-568,G6Pdh_KK_3-BG,G6Pdh_KK_4-405,G6Pdh_KK_4-BG,G6Pdh_KK_4-568,G6Pdh_KK_4-BG,G6Pdh_KK_5-405,G6Pdh_KK_5-BG,G6Pdh_KK_5-568,G6Pdh_KK_5-BG,G6Pdh_KK_6-405,G6Pdh_KK_6-BG,G6Pdh_KK_6-568,G6Pdh_KK_6-BG,G6Pdh_KK_7-405,G6Pdh_KK_7-BG,G6Pdh_KK_7-568,G6Pdh_KK_7-BG,G6Pdh_KK_8-405,G6Pdh_KK_8-BG,G6Pdh_KK_8-568,G6Pdh_KK_8-BG,G6Pdh_KK_9-405,G6Pdh_KK_9-BG,G6Pdh_KK_9-568,G6Pdh_KK_9-BG,G6Pdh_KK_10-405,G6Pdh_KK_10-BG,G6Pdh_KK_10-568,G6Pdh_KK_10-BG,G6Pdh_KK_11-405,G6Pdh_KK_11-BG,G6Pdh_KK_11-568,G6Pdh_KK_11-BG,G6Pdh_KK_12-405,G6Pdh_KK_12-BG,G6Pdh_KK_12-568,G6Pdh_KK_12-BG,G6Pdh_KK_13-405,G6Pdh_KK_13-BG,G6Pdh_KK_13-568,G6Pdh_KK_13-BG,G6Pdh_KK_11-405,G6Pdh_KK_14-BG,G6Pdh_KK_14-568,G6Pdh_KK_14-BG,G6Pdh_KK_12-405,G6Pdh_KK_15-BG,G6Pdh_KK_15-568,G6Pdh_KK_15-BG,G6Pdh_KK_16-405,G6Pdh_KK_16-BG,G6Pdh_KK_16-568,G6Pdh_KK_16-BG,G6Pdh_KK_17-405,G6Pdh_KK_17-BG,G6Pdh_KK_17-568,G6Pdh_KK_17-BG
44.603,0.204,69.364,0,44.12,0.041,64.799,0.02,29.744,0.347,111.79,0.082,19.089,0.755,66.636,0.041,21.983,0.755,77.29,0.041,38.105,0.125,123.757,0.071,39.162,0.161,153.482,0.071,41.65,0.161,147.756,0.071,14.679,0.3,47.226,0,4.994,0.018,11.771,0,8.194,0.018,13.921,0,28.186,0,51.152,0,24.854,0,65.036,0,20.716,0.1,74.021,0,18.157,0.1,60.533,0,73.209,0.167,134.466,0.033,69.225,0.167,124.339,0.033
43.014,0.184,67.691,0,42.532,0.245,63.351,0,30.026,0.388,113.371,0.041,18.547,0.49,65.492,0.02,21.418,0.49,76.624,0.02,37.918,0.143,124.913,0.018,39.888,0.268,157.947,0.071,41.563,0.268,147.604,0.071,14.702,0.133,47.282,0,4.953,0,11.906,0.1,8.103,0,13.947,0.1,27.824,0.067,50.803,0,24.366,0.067,63.602,0,20.135,0.1,73.491,0,17.802,0.1,59.198,0,72.968,0.167,134.216,0,69.373,0.167,124.784,0
42.124,0.163,67.18,0.02,41.731,0.184,62.558,0.041,30.01,0.388,112.429,0,18.294,0.429,65.478,0.041,21.164,0.429,75.851,0.041,37.038,0.125,123.418,0.018,39.756,0.304,156.929,0.054,41.518,0.304,147.559,0.054,14.74,0.033,47.17,0,4.971,0,11.992,0.067,8.137,0,14.043,0.067,27.519,0.133,50.893,0.033,24.392,0.133,63.64,0.033,20.035,0,73.352,0,17.386,0,58.844,0,72.974,0.167,134.013,0,69.249,0.167,124.265,0
41.371,0.204,66.883,0.02,40.452,0.204,62.067,0,29.625,0.286,112.083,0.02,18.57,0.469,66.486,0,20.935,0.469,75.812,0,37.186,0.196,123.093,0.018,38.897,0.214,156.479,0.089,41.09,0.214,146.841,0.089,14.913,0.1,47.345,0,4.941,0,12.131,0,8.184,0,14.274,0,27.414,0.133,50.742,0,23.914,0.133,63.382,0,19.713,0.1,72.661,0,17.396,0.1,59.287,0,73.559,0.167,134.173,0,69.094,0.167,124.926,0
40.681,0.143,66.323,0.02,39.51,0.224,61.749,0,28.792,0.347,111.42,0.041,18.683,0.571,66.313,0.02,20.918,0.571,76.248,0.02,36.809,0.214,123.079,0,38.734,0.304,156.221,0.071,41.12,0.304,146.587,0.071,14.81,0.2,47.414,0,5.055,0.036,12.289,0,8.148,0.036,14.263,0,27.177,0.067,50.515,0,24.146,0.067,63.424,0,19.774,0.067,72.42,0,17.561,0.067,58.457,0,72.991,0.133,134.493,0,68.774,0.133,124.463,0
40.444,0.286,66.289,0.02,38.85,0.184,61.314,0,28.861,0.347,111.487,0.02,18.286,0.571,65.528,0,20.447,0.571,74.94,0,35.829,0.321,121.842,0.018,38.462,0.143,156.451,0.071,41.091,0.143,145.528,0.071,14.979,0.133,47.442,0,5.097,0,12.285,0,8.184,0,14.462,0,27.152,0.033,50.505,0,23.426,0.033,61.818,0,19.38,0.233,72.356,0.033,17.235,0.233,57.821,0.033,72.907,0.1,133.526,0,67.585,0.1,123.995,0
40.002,0.306,66.012,0,37.864,0.041,60.493,0,28.754,0.469,111.346,0,18.085,0.735,65.77,0.02,20.237,0.735,74.73,0.02,35.938,0.196,123.141,0.071,38.31,0.214,157.161,0.036,40.477,0.214,144.296,0.036,14.859,0.4,47.296,0,4.857,0,12.261,0.033,7.944,0,14.324,0.033,26.933,0,50.494,0.033,22.923,0,60.78,0.033,19.261,0.133,71.559,0,17.053,0.133,56.986,0,72.567,0.1,134.429,0,67.59,0.1,123.882,0
39.472,0.184,65.677,0.02,37.417,0.204,60.258,0.02,28.243,0.265,110.776,0,17.736,0.286,65.032,0,19.793,0.286,74.413,0,35.655,0.286,122.963,0.036,37.749,0.161,156.261,0.071,40.156,0.161,143.882,0.071,14.749,0.367,47.178,0,4.844,0,12.309,0,7.929,0,14.126,0,26.604,0.267,50.22,0,22.1,0.267,58.871,0,19.001,0.033,70.539,0,16.506,0.033,55.657,0,72.448,0.2,133.58,0,67.159,0.2,123.643,0
39.136,0.102,65.352,0.02,36.969,0.245,60.188,0,27.91,0.204,110.118,0,17.488,0.49,64.798,0.041,19.574,0.49,74.051,0.041,35.23,0.179,123.044,0.018,37.838,0.268,156.129,0.125,39.516,0.268,143.171,0.125,14.775,0.067,47.485,0,4.84,0,12.276,0.033,7.926,0,14.216,0.033,26.263,0.3,49.9,0,21.905,0.3,58.178,0,18.766,0.067,70.303,0,16.28,0.067,55.266,0,72.403,0.167,133.511,0,66.579,0.167,123.555,0
38.373,0.224,65.581,0.02,36.164,0.163,59.593,0,27.71,0.306,109.659,0.02,17.373,0.469,64.558,0.041,19.04,0.469,73.157,0.041,34.764,0.214,122.545,0.018,37.787,0.161,155.979,0.036,38.87,0.161,142.726,0.036,14.968,0.1,47.405,0,4.981,0.018,12.471,0,7.905,0.018,14.525,0,26.246,0.033,49.999,0,21.383,0.033,57.376,0,18.522,0.1,69.999,0.033,15.704,0.1,54.211,0.033,71.714,0.133,133.133,0,65.865,0.133,121.679,0
38.217,0.102,65.421,0,35.673,0.184,59.408,0,27.376,0.367,109.133,0.041,16.978,0.429,64.011,0,18.857,0.429,72.919,0,33.925,0.161,121.22,0.071,36.5,0.161,153.015,0.089,39.631,0.161,146.002,0.089,14.999,0.1,47.437,0,4.949,0,12.752,0.033,8.096,0,14.858,0.033,26.094,0.2,49.89,0,21.29,0.2,57.353,0,18.5,0.167,69.723,0,15.676,0.167,53.679,0,71.996,0.233,133.131,0,64.991,0.233,120.412,0
37.449,0.163,64.862,0.02,34.731,0.082,58.528,0,26.937,0.306,108.352,0,16.887,0.673,64.394,0,18.348,0.673,72.611,0,33.49,0.179,120.381,0.018,36.095,0.107,152.313,0.018,39.369,0.107,144.41,0.018,14.966,0.067,47.727,0,5.008,0.036,12.584,0.033,7.891,0.036,14.364,0.033,26.124,0.1,49.582,0,20.997,0.1,56.529,0,18.466,0.067,69.364,0,15.499,0.067,53.457,0,71.596,0.1,132.921,0.033,64.352,0.1,121.449,0.033
37.079,0.204,64.619,0,34.312,0.082,57.873,0,26.408,0.265,107.001,0.061,17.611,0.633,66.918,0.02,18.023,0.633,72.103,0.02,33.838,0.179,121.916,0,36.501,0.125,155.844,0.018,39.686,0.125,144.827,0.018,15.212,0.267,47.571,0,5.216,0,13.003,0,8.061,0,14.956,0,25.783,0.133,49.232,0,20.611,0.133,56.028,0,18.352,0.033,68.619,0,15.669,0.033,53.522,0,70.994,0.1,131.979,0,64.545,0.1,120.765,0
