HyPer_1,HyPer1_BG,HyPer_2,HyPer2_BG,HyPer_3,HyPer3_BG,HyPer4,HyPer4_BG,HyPer5,HyPer5_BG,HyPer6,HyPer6_BG,HyPer7,HyPer7_BG,HyPer8,HyPer8_BG,HyPer9,HyPer9_BG,HyPer10,HyPer10_BG,HyPer11,HyPer11_BG,HyPer12,HyPer12_BG,HyPer13,HyPer13_BG,HyPer14,HyPer14_BG,HyPer15,HyPer15_BG,HyPer16,HyPer16_BG,HyPer17,HyPer17_BG,HyPer18,HyPer18_BG
6.953,0.45,5.707,1.24,4.117,0.413,11.625,0.921,12.143,1.039,12.977,0.727,8.062,0.345,17.74,0.266,11.412,0.287,9.435,0.377,8.184,0.377,5.341,0.155,10.053,1.083,10.393,1.083,17.304,0.663,13.447,0.594,18.111,0.594,18.44,0.275
6.916,0.425,5.705,1.201,4.086,0.433,11.564,0.976,12.058,1.037,12.855,0.721,8.02,0.363,17.67,0.305,11.268,0.301,9.285,0.326,8.042,0.326,5.347,0.162,10.079,1.1,10.329,1.1,17.1,0.75,13.28,0.606,18.074,0.606,18.199,0.279
6.926,0.487,5.673,1.228,4.068,0.417,11.387,1.018,11.982,1.035,12.71,0.772,7.863,0.374,17.483,0.347,11.139,0.275,9.178,0.322,8.01,0.322,5.33,0.213,10.048,1.132,10.259,1.132,16.883,0.75,13.079,0.626,18.026,0.626,18.024,0.269
6.926,0.437,5.644,1.129,4.046,0.435,11.389,0.963,11.861,1.035,12.553,0.794,7.743,0.379,17.169,0.305,11.039,0.356,9.1,0.326,7.995,0.326,5.245,0.153,10.007,1.102,10.176,1.102,16.594,0.729,12.958,0.591,17.899,0.591,17.636,0.273
6.914,0.499,5.626,1.189,4.012,0.466,11.205,1.003,11.677,0.993,12.283,0.7,7.653,0.339,16.986,0.311,10.802,0.299,9.067,0.343,7.732,0.343,5.226,0.167,9.94,1.06,10.152,1.06,16.359,0.723,12.713,0.631,17.687,0.631,17.368,0.293
6.85,0.532,5.624,1.076,3.985,0.437,11.08,1,11.577,0.979,12.146,0.674,7.504,0.368,16.673,0.276,10.667,0.289,8.98,0.352,7.656,0.352,5.119,0.192,9.954,1.058,10.052,1.058,16.18,0.742,12.583,0.611,17.688,0.611,17.231,0.252
6.834,0.485,5.587,1.105,3.912,0.448,11.147,0.924,11.498,0.998,12.097,0.748,7.499,0.413,16.661,0.345,10.72,0.329,8.86,0.322,7.552,0.322,5.156,0.201,9.906,1.225,10.01,1.225,16.101,0.659,12.355,0.644,17.649,0.644,17.012,0.25
6.817,0.522,5.57,1.119,3.906,0.419,11.141,1.029,11.379,0.922,11.993,0.702,7.454,0.371,16.703,0.305,10.759,0.306,8.821,0.28,7.361,0.28,5.129,0.178,9.824,1.19,9.952,1.19,15.905,0.719,12.26,0.574,17.559,0.574,16.942,0.213
6.786,0.458,5.515,1.131,3.878,0.405,11.065,1.037,11.355,0.966,11.748,0.709,7.307,0.332,16.47,0.284,10.525,0.312,8.663,0.319,7.275,0.319,5.158,0.153,9.908,1.146,9.8,1.146,15.623,0.767,12.166,0.565,17.463,0.565,16.645,0.246
6.763,0.444,5.477,1.092,3.867,0.462,10.969,0.958,11.172,0.975,11.601,0.691,7.306,0.405,16.408,0.242,10.589,0.317,8.598,0.278,7.333,0.278,5.127,0.171,9.864,1.199,9.808,1.199,15.511,0.669,11.968,0.585,17.454,0.585,16.722,0.229
