Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG,Pgd_15-488,Pgd_15-BG,Pgd_15-568,Pgd_15-BG,Pgd_16-488,Pgd_16-BG,Pgd_16-568,Pgd_16-BG,Pgd_17-488,Pgd_17-BG,Pgd_17-568,Pgd_17-BG
12.687,0.062,27.66,0.019,37.826,0.125,54.071,0.019,53.719,0.058,38.103,0.014,60.702,0.067,44.211,0.019,54.761,0.067,39.105,0.019,58.766,0.949,80.228,0.123,103.285,0.949,96.058,0.123,93.335,0.949,79.244,0.123,19.865,0.015,25.488,0.01,22.555,0.015,31.881,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.705,0.077,27.747,0.01,38.467,0.13,54.066,0.034,53.688,0.024,38.307,0.005,61.105,0.072,44.304,0.024,55.55,0.072,39.302,0.024,60.216,0.959,80.342,0.133,105.007,0.959,96.406,0.133,94.509,0.959,79.482,0.133,19.977,0.031,25.586,0.015,22.816,0.026,32.08,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.814,0.053,27.835,0.019,38.592,0.144,53.978,0.034,53.261,0.034,37.774,0.014,61.313,0.072,43.977,0.014,54.476,0.072,38.477,0.014,61.623,0.918,80.376,0.138,106.129,0.918,96.289,0.138,95.141,0.918,79.077,0.138,19.321,0.01,24.971,0.021,22.309,0.036,31.428,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.832,0.038,27.449,0.005,39.027,0.111,54.051,0.019,53.747,0.034,38.046,0.005,61.549,0.053,43.834,0.014,54.155,0.053,38.06,0.014,62.902,0.908,80.455,0.185,107.692,0.908,96.372,0.185,95.955,0.908,79.425,0.185,19.33,0.01,24.671,0,22.152,0.005,31.24,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.035,0.058,27.515,0.01,39.802,0.106,54.186,0.019,54.226,0.034,38.074,0.005,61.713,0.067,43.517,0.029,53.821,0.067,37.713,0.029,65.285,0.856,81.256,0.128,109.603,0.856,97.34,0.128,97.858,0.856,80.718,0.128,19.037,0.021,24.358,0.01,21.91,0.026,30.714,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.095,0.072,27.302,0.029,39.985,0.12,54.106,0.043,53.454,0.043,37.558,0.014,61.805,0.058,43.593,0.005,53.747,0.058,37.51,0.005,65.253,0.938,79.872,0.149,109.622,0.938,96.443,0.149,96.743,0.938,78.945,0.149,18.801,0.015,24.041,0.005,21.792,0.046,30.454,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.281,0.048,27.517,0.024,40.359,0.096,53.972,0.038,53.302,0.024,37.777,0.01,62.1,0.072,43.403,0.01,53.452,0.072,37.287,0.01,65.929,0.938,79.205,0.154,110.077,0.938,96.087,0.154,96.657,0.938,78.057,0.154,18.924,0.031,24.097,0.01,21.948,0.041,30.502,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.393,0.087,27.336,0.01,40.769,0.101,54.009,0.034,54.003,0.029,37.918,0.01,62.573,0.043,43.441,0.019,53.665,0.043,37.358,0.019,67.322,0.949,79.115,0.113,111.13,0.949,96.138,0.113,97.597,0.949,78.217,0.113,18.559,0.026,23.623,0.005,21.575,0.026,29.916,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.419,0.043,27.063,0.019,42.604,0.106,54.273,0.034,61.238,0.019,37.671,0.005,62.863,0.067,43.299,0.014,53.19,0.067,37.047,0.014,69.146,0.954,79.211,0.123,112.547,0.954,96.157,0.123,98.285,0.954,78.226,0.123,18.747,0.021,23.84,0,21.531,0.026,29.894,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.826,0.048,27.329,0.019,46.432,0.101,53.948,0.029,73.147,0.034,38.124,0.005,62.779,0.048,43.059,0.043,52.686,0.048,36.378,0.043,70.991,1.128,79.331,0.133,114.895,1.128,96.329,0.133,98.908,1.128,77.775,0.133,19.391,0.021,24.157,0.005,21.662,0.026,29.151,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.86,0.034,26.706,0,53.085,0.101,54.041,0.029,84.681,0.029,38.736,0.019,63.237,0.082,43.156,0.014,53.051,0.082,36.526,0.014,77.051,1,78.179,0.097,130.943,1,95.948,0.097,105.312,1,77.118,0.097,19.203,0.026,23.466,0.005,21.785,0.036,28.254,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.489,0.053,27.735,0,60.537,0.149,53.977,0.029,92.353,0.043,38.984,0.014,68.459,0.034,43.108,0.043,58.935,0.034,36.154,0.043,89.923,0.959,78.102,0.092,152.832,0.959,95.915,0.092,119.679,0.959,76.71,0.092,19.785,0.015,23.296,0.01,22.33,0.041,27.763,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.786,0.053,27.838,0.019,67.028,0.082,53.844,0.019,96.248,0.029,39.179,0.01,78.331,0.087,42.965,0.01,66.38,0.087,36.032,0.01,103.426,0.723,78.035,0.123,169.596,0.723,95.889,0.123,131.515,0.723,76.755,0.123,20.982,0.005,23.512,0.01,23.702,0.036,27.965,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.84,0.043,27.828,0.005,73.185,0.115,53.941,0.014,98.237,0.043,38.994,0.014,84.6,0.058,42.976,0.014,71.459,0.058,36.094,0.014,113.723,0.841,77.557,0.082,178.633,0.841,96.046,0.082,139.67,0.841,76.41,0.082,22.536,0.031,24.306,0.021,25.592,0.041,28.642,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.34,0.062,28.153,0.01,78.551,0.12,53.984,0.019,98.541,0.062,39.135,0.014,89.963,0.062,43.194,0.019,75.245,0.062,36.066,0.019,122.138,0.867,77.669,0.113,183.653,0.867,96.039,0.113,144.984,0.867,76.726,0.113,23.059,0.026,24.365,0.01,26.964,0.036,28.707,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.715,0.077,27.816,0.019,82.67,0.101,53.711,0.034,97.179,0.058,38.839,0.014,93.477,0.043,42.688,0.019,77.527,0.043,35.652,0.019,129.81,0.821,78.509,0.164,185.908,0.821,96.256,0.164,149.384,0.821,77.441,0.164,23.521,0.021,23.963,0.005,27.437,0.036,28.52,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.028,0.038,28.025,0.005,86.919,0.096,53.717,0.024,97.682,0.043,38.798,0.014,95.791,0.062,42.574,0.024,78.845,0.062,35.38,0.024,135.812,0.713,79.336,0.159,186.792,0.713,96.845,0.159,152.867,0.713,77.881,0.159,24.414,0.021,24.218,0.005,28.48,0.041,28.857,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.006,0.058,27.973,0,90.507,0.13,53.846,0.029,97.941,0.062,38.795,0.005,97.679,0.091,42.621,0.034,80.288,0.091,35.278,0.034,138.88,0.821,78.973,0.133,186.326,0.821,96.433,0.133,153.398,0.821,77.225,0.133,24.506,0.026,24.106,0.015,28.682,0.056,28.856,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.707,0.034,27.699,0.005,93.517,0.082,53.643,0.024,96.473,0.048,38.395,0.01,98.995,0.082,42.525,0.034,81.885,0.082,35.48,0.034,141.208,0.795,78.824,0.092,186.142,0.795,96.552,0.092,154.659,0.795,77.72,0.092,23.456,0.005,22.992,0,27.709,0.036,27.643,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.201,0.043,27.688,0.014,95.769,0.077,53.702,0.014,95.887,0.038,38.226,0,99.772,0.062,42.337,0.019,82.256,0.062,35.201,0.019,143.859,0.903,79.31,0.077,186.469,0.903,96.673,0.077,156.367,0.903,77.768,0.077,24.865,0.021,24.006,0.005,27.959,0.036,27.407,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.882,0.038,28.203,0.01,98.038,0.072,53.759,0.01,95.172,0.058,37.864,0.01,100.278,0.087,42.443,0.014,82.622,0.087,34.941,0.014,144.662,0.836,79.596,0.108,185.743,0.836,96.477,0.108,156.776,0.836,77.93,0.108,25.069,0.005,23.832,0.01,27.878,0.041,27.248,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.509,0.072,27.849,0.024,100.204,0.096,53.851,0.024,95.599,0.058,38.015,0.019,100.732,0.091,42.252,0.019,82.685,0.091,34.752,0.019,145.703,0.841,79.125,0.113,185.848,0.841,96.481,0.113,157.36,0.841,78.057,0.113,24.699,0.021,23.518,0.021,27.679,0.031,26.842,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.328,0.082,28.212,0,101.948,0.048,54,0.024,96.178,0.019,38.27,0.019,100.883,0.072,42.297,0.024,83.011,0.072,34.653,0.024,145.023,0.872,78.689,0.138,184.823,0.872,95.805,0.138,156.074,0.872,77.047,0.138,25.109,0.01,23.562,0.021,27.732,0.021,26.74,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.565,0.058,28.228,0.005,103.321,0.106,53.946,0.019,95.395,0.048,37.95,0,101.176,0.072,42.215,0.034,83.934,0.072,34.993,0.034,145.515,0.903,78.606,0.133,184.883,0.903,95.8,0.133,156.712,0.903,77.328,0.133,25.117,0.01,23.73,0.005,27.958,0.026,26.892,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.229,0.043,28.112,0.014,104.595,0.087,53.927,0.01,95.482,0.019,38.199,0,100.745,0.12,42.236,0.029,83.487,0.12,34.695,0.029,146.456,0.744,78.667,0.118,184.722,0.744,95.545,0.118,156.849,0.744,77.136,0.118,24.936,0.021,23.258,0.005,27.549,0.041,26.424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.58,0.048,28.087,0.014,105.704,0.111,54.085,0.024,95.196,0.043,37.896,0.005,100.896,0.087,42.033,0.019,83.736,0.087,34.734,0.019,145.346,0.785,77.819,0.118,184.022,0.785,94.955,0.118,155.601,0.785,76.402,0.118,24.416,0.01,22.756,0.015,27.42,0.031,26.041,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.911,0.058,28.235,0,106.761,0.096,54.384,0.01,93.914,0.034,37.309,0.01,100.296,0.077,41.669,0.005,82.612,0.077,34.137,0.005,145.467,0.867,77.959,0.138,184.095,0.867,94.792,0.138,155.862,0.867,76.55,0.138,24.937,0.01,23.09,0,27.72,0.041,26.439,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.546,0.053,28.489,0.014,107.809,0.135,54.28,0.058,95.182,0.038,37.861,0.005,99.526,0.101,41.481,0.01,81.329,0.101,33.629,0.01,148.236,0.995,79.088,0.113,185.143,0.995,95.29,0.113,158.41,0.995,77.632,0.113,26.194,0.015,24.172,0.015,27.369,0.021,26.039,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.926,0.067,28.6,0.014,108.451,0.12,54.207,0.014,94.298,0.029,37.563,0.01,99.957,0.091,41.533,0.034,82.373,0.091,33.948,0.034,147.265,0.826,78.426,0.128,184.581,0.826,95.025,0.128,157.793,0.826,77.006,0.128,26.658,0.005,24.419,0,27.134,0.015,25.771,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.964,0.053,28.361,0,108.591,0.135,54.109,0.024,93.737,0.029,37.422,0.01,99.278,0.082,41.197,0.038,81.835,0.082,33.775,0.038,148.109,0.923,78.542,0.097,185.017,0.923,94.623,0.097,157.833,0.923,76.744,0.097,26.509,0.01,24.311,0.015,27.141,0.01,25.73,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.782,0.048,28.45,0,109.185,0.149,54.115,0.024,93.371,0.038,37.168,0.014,98.843,0.072,41.029,0.014,81.093,0.072,33.398,0.014,148.668,0.892,78.632,0.174,185.26,0.892,94.75,0.174,158.332,0.892,77.175,0.174,26.895,0.015,24.672,0.005,27.045,0.041,25.793,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.085,0.087,28.138,0.014,109.343,0.082,53.931,0.01,92.438,0.034,36.765,0.01,99.096,0.101,41.137,0.024,82.134,0.101,33.793,0.024,151.117,0.928,79.78,0.108,186.375,0.928,95.146,0.108,160.377,0.928,78.001,0.108,26.884,0.021,24.432,0.005,26.801,0.036,25.468,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.183,0.034,28.085,0.005,109.976,0.111,54.034,0.014,92.941,0.029,36.822,0.005,97.961,0.139,40.9,0.024,81.062,0.139,33.449,0.024,151.139,0.872,79.566,0.154,186.464,0.872,95.29,0.154,160.094,0.872,77.715,0.154,26.655,0.021,24.332,0.01,26.681,0.021,25.204,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.092,0.029,27.569,0,110.696,0.053,54.352,0.029,92.617,0.034,36.92,0.005,97.972,0.077,40.59,0.024,80.527,0.077,33.146,0.024,151.701,0.836,80.038,0.144,186.453,0.836,95.318,0.144,161.114,0.836,78.143,0.144,26.869,0.015,24.422,0.01,26.743,0.026,25.325,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.179,0.072,28.023,0.005,110.988,0.077,54.166,0.034,92.757,0.048,36.813,0.01,97.367,0.125,40.497,0.043,79.92,0.125,32.879,0.043,150.748,0.841,79.369,0.138,186.078,0.841,94.917,0.138,159.941,0.841,77.592,0.138,26.827,0.01,24.218,0.015,26.676,0.015,25,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.604,0.053,27.855,0.038,111.484,0.096,54.418,0.038,93.107,0.034,36.804,0.019,97.187,0.101,40.302,0.024,79.636,0.101,32.751,0.024,152.105,0.938,79.649,0.103,186.381,0.938,94.976,0.103,160.563,0.938,78.013,0.103,26.364,0.026,23.901,0,26.484,0.031,24.931,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.373,0.082,27.945,0.019,112.476,0.077,54.475,0.024,94.178,0.043,37.455,0.005,96.664,0.125,40.418,0.019,78.619,0.125,32.427,0.019,150.454,0.785,78.664,0.133,185.33,0.785,94.458,0.133,158.302,0.785,76.723,0.133,27.291,0.031,24.579,0.005,26.908,0.026,25.259,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.29,0.067,27.661,0,110.911,0.101,54.487,0.024,76.911,0.067,36.416,0,96.96,0.067,40.429,0.019,79.285,0.067,32.65,0.019,149.894,0.8,78.032,0.138,185.04,0.8,93.934,0.138,157.269,0.8,75.937,0.138,26.635,0.015,24.032,0.021,26.333,0.015,24.669,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.427,0.087,27.537,0.024,104.017,0.106,54.446,0.014,58.264,0.048,35.952,0.019,96.666,0.125,40.234,0.048,78.963,0.125,32.452,0.048,149.397,0.887,77.538,0.185,184.975,0.887,93.919,0.185,157.226,0.887,75.562,0.185,26.932,0.021,24.121,0.021,26.474,0.041,24.917,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.77,0.058,27.608,0.01,93.502,0.087,54.467,0.024,41.917,0.029,34.721,0.005,96.079,0.106,40.329,0.038,79.188,0.106,32.551,0.038,148.638,1.015,77.654,0.113,184.691,1.015,93.718,0.113,153.822,1.015,75.471,0.113,27.16,0.026,24.212,0.015,26.792,0.015,24.922,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.302,0.034,27.739,0.005,82.432,0.091,54.874,0.019,32.479,0.043,34.432,0.01,96.241,0.101,40.179,0.019,78.492,0.101,32.221,0.019,137.889,0.815,77.166,0.123,175.876,0.815,92.781,0.123,142.139,0.815,74.378,0.123,26.491,0.01,23.883,0.015,25.601,0.041,24.115,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.131,0.077,27.314,0.01,72.536,0.067,55.329,0.019,27.866,0.034,34.738,0.01,92.11,0.096,39.853,0.029,72.934,0.096,31.875,0.029,126.359,0.974,77.346,0.118,156.521,0.974,92.982,0.118,125.617,0.974,74.558,0.118,25.701,0.01,23.672,0.005,23.254,0.026,23.758,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.056,0.038,26.992,0.014,63.888,0.096,55.188,0.01,24.851,0.072,34.232,0.005,76.815,0.072,39.537,0.024,58.258,0.072,31.312,0.024,106.878,0.938,76.354,0.144,129.659,0.938,92.04,0.144,101.93,0.938,73.544,0.144,24.468,0.031,23.579,0.026,19.906,0.015,23.533,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.489,0.062,26.789,0.014,57.131,0.082,55.079,0.019,22.645,0.043,33.672,0.005,62.766,0.101,39.183,0.029,46.734,0.101,30.865,0.029,89.075,1.051,76.597,0.128,103.576,1.051,91.808,0.128,81.724,1.051,73.447,0.128,22.929,0.026,23.978,0.01,16.685,0.041,23.35,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.798,0.062,26.551,0.01,51.796,0.087,55.17,0,22.035,0.029,33.937,0.005,49.242,0.082,39.058,0.053,36.054,0.082,30.642,0.053,74.513,0.908,75.731,0.159,83.307,0.908,91.158,0.159,67.08,0.908,72.678,0.159,20.763,0.031,23.945,0.015,13.882,0.031,22.885,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.651,0.043,26.526,0.01,47.794,0.072,55.198,0.029,21.181,0.048,33.895,0.01,40.324,0.067,38.66,0.034,29.167,0.067,30.238,0.034,64.885,1.077,76.047,0.159,69.391,1.077,91.017,0.159,58.204,1.077,72.811,0.159,19.027,0.005,24.175,0.01,11.804,0.031,22.692,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.864,0.067,26.406,0.005,44.787,0.115,55.612,0.014,21.063,0.014,34.014,0.01,33.729,0.058,38.572,0.005,24.172,0.058,29.848,0.005,57.396,0.99,76.171,0.149,60.515,0.99,90.882,0.149,53.022,0.99,72.721,0.149,17.452,0.015,24.832,0.026,10.296,0.036,22.186,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.405,0.029,26.351,0.014,41.808,0.087,55.068,0.024,20.73,0.053,33.706,0.005,29.35,0.048,38.216,0.024,21.186,0.048,29.559,0.024,52.314,0.928,76.814,0.118,55.541,0.928,92.031,0.118,49.502,0.928,73.089,0.118,15.729,0.01,25.1,0.01,9.3,0.031,22.009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.876,0.043,26.361,0.014,39.661,0.115,55.233,0.014,20.176,0.038,33.448,0.005,26.672,0.048,38.191,0.043,19.301,0.048,29.535,0.043,48.471,1.036,76.26,0.108,52.37,1.036,91.993,0.108,46.806,1.036,72.743,0.108,14.685,0.026,25.46,0.005,8.889,0.031,22.203,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.035,0.062,26.175,0.01,37.931,0.087,54.923,0.005,20.194,0.029,33.545,0.01,24.556,0.077,37.953,0.029,17.879,0.077,29.161,0.029,45.607,0.892,75.841,0.169,49.873,0.892,91.346,0.169,44.782,0.892,72.206,0.169,13.876,0.015,26.213,0.021,8.471,0.021,22.366,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.504,0.043,25.971,0.019,36.796,0.038,55.29,0.014,20.554,0.01,34.254,0,22.963,0.062,37.774,0.019,16.934,0.062,28.923,0.019,44.024,0.851,75.9,0.149,47.984,0.851,91.087,0.149,43.433,0.851,72.157,0.149,13.86,0.031,27.433,0.015,8.272,0.015,22.795,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.23,0.038,25.383,0.005,35.554,0.096,54.962,0.043,20.605,0.024,34.184,0.014,21.848,0.034,37.724,0.024,16.202,0.034,28.83,0.024,42.46,1.031,75.574,0.103,46.614,1.031,91.108,0.103,42.258,1.031,71.736,0.103,13.404,0.01,27.546,0.01,7.979,0.021,22.815,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.558,0.043,25.386,0.019,34.577,0.082,54.932,0.024,20.085,0.029,33.594,0.005,21.043,0.034,37.549,0.01,15.589,0.034,28.663,0.01,41.481,0.944,75.724,0.118,46.055,0.944,91.273,0.118,41.863,0.944,71.825,0.118,12.881,0.021,27.626,0,7.667,0.015,22.739,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.993,0.062,25.379,0.014,33.899,0.082,54.779,0.014,20.123,0.034,33.302,0.005,20.424,0.048,37.451,0.019,15.274,0.048,28.525,0.019,40.393,0.979,75.459,0.149,45.165,0.979,91.316,0.149,40.908,0.979,71.368,0.149,12.391,0.031,27.476,0.031,7.372,0.015,22.531,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.651,0.029,25.345,0.005,33.501,0.096,55.058,0.014,19.82,0.053,32.99,0.014,19.722,0.053,37.118,0.014,14.827,0.053,28.219,0.014,39.707,1.005,75.253,0.087,44.526,1.005,91.069,0.087,40.645,1.005,71.468,0.087,11.948,0.015,26.987,0.021,7.199,0.005,22.38,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.198,0.058,25.118,0.01,33.13,0.077,55.243,0.019,20.299,0.048,33.535,0.01,19.265,0.062,36.978,0.024,14.372,0.062,27.828,0.024,39.094,1.01,75.125,0.087,44.093,1.01,90.998,0.087,40.338,1.01,71.335,0.087,11.429,0.01,26.882,0.015,7.155,0.026,22.491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.053,0.048,25.21,0.005,32.749,0.077,55.076,0.019,20.476,0.048,33.636,0,18.93,0.072,36.656,0.019,14.212,0.072,27.535,0.019,38.854,1.015,75.283,0.138,43.888,1.015,90.586,0.138,39.975,1.015,71.207,0.138,11.321,0.021,27.006,0.005,7.159,0.041,22.762,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.998,0.058,25.43,0.005,32.535,0.072,55.164,0.014,20.392,0.038,33.394,0.005,18.602,0.053,36.503,0.01,13.9,0.053,27.26,0.01,39.03,0.841,75.644,0.077,44.056,0.841,90.712,0.077,40.126,0.841,71.459,0.077,11.845,0.015,28.355,0.015,7.115,0.021,22.695,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.57,0.058,24.994,0.019,32.389,0.087,54.887,0.019,21.008,0.024,33.901,0.019,18.386,0.038,36.492,0.01,13.828,0.038,27.159,0.01,38.815,1.036,75.564,0.144,43.946,1.036,91.16,0.144,40.077,1.036,71.653,0.144,12.008,0.015,29.222,0.015,7.156,0.015,22.925,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.678,0.062,25.038,0.005,32.599,0.096,55.261,0.029,20.914,0.034,33.527,0,18.272,0.058,36.335,0.019,13.692,0.058,27.112,0.019,38.58,0.903,75.57,0.103,43.86,0.903,90.949,0.103,39.876,0.903,71.216,0.103,11.866,0.01,29.105,0.005,7.109,0.056,22.676,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.681,0.034,25.374,0.005,32.586,0.072,55.523,0.024,21.29,0.029,33.877,0.01,18.179,0.053,36.414,0.019,13.636,0.053,27.066,0.019,38.506,0.846,75.191,0.113,43.872,0.846,90.744,0.113,39.506,0.846,71.157,0.113,11.783,0.005,29.199,0.021,7.041,0.026,22.867,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.551,0.062,25.237,0.01,32.608,0.106,55.3,0.019,21.444,0.048,33.429,0,18.002,0.053,36.292,0.024,13.566,0.053,27.044,0.024,38.406,0.933,75.324,0.128,43.958,0.933,90.795,0.128,39.62,0.933,70.912,0.128,11.793,0.005,29.238,0.01,7.354,0.01,24.099,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.625,0.058,25.369,0.005,32.814,0.082,55.248,0.024,21.318,0.053,33.355,0,17.778,0.058,36.294,0.024,13.466,0.058,26.984,0.024,38.505,1.021,74.914,0.149,43.867,1.021,90.428,0.149,39.279,1.021,70.635,0.149,11.656,0.015,29.142,0.005,7.418,0.026,24.263,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.349,0.048,25.069,0.01,32.867,0.13,55.227,0.019,21.948,0.058,34.031,0.005,17.669,0.038,36.127,0.024,13.354,0.038,26.771,0.024,38.531,0.81,75.273,0.128,44.09,0.81,90.721,0.128,39.628,0.81,71.161,0.128,11.569,0.026,29.327,0,7.649,0.026,24.978,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
