Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG,Pgd_15-488,Pgd_15-BG,Pgd_15-568,Pgd_15-BG,Pgd_16-488,Pgd_16-BG,Pgd_16-568,Pgd_16-BG,Pgd_17-488,Pgd_17-BG,Pgd_17-568,Pgd_17-BG
36.218,0.053,34.217,0.019,20.855,0.087,52.975,0.01,46.209,0.048,40.388,0.01,36,0.255,43.79,0.062,52.273,0.255,50.822,0.062,35.469,1.056,93.866,0.164,56.505,1.056,99.999,0.164,58.616,1.056,103.54,0.164,34.138,0.026,45.22,0.031,40.318,0.056,56.996,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.592,0.082,33.91,0.014,21.131,0.111,52.993,0.024,46.636,0.019,40.145,0.005,37.223,0.135,44.436,0.048,52.643,0.135,50.132,0.048,34.673,0.949,93.386,0.215,57.153,0.949,100.136,0.215,59.149,0.949,102.506,0.215,33.556,0.026,44.546,0.005,39.585,0.036,56.332,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.926,0.062,33.559,0.01,21.392,0.053,53.016,0.019,46.523,0.072,39.697,0.005,38.32,0.173,44.719,0.058,53.15,0.173,49.744,0.058,33.365,1.077,92.472,0.154,57.47,1.077,100.556,0.154,59.767,1.077,100.554,0.154,32.919,0.046,43.763,0.015,38.981,0.031,55.825,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.433,0.058,33.104,0,21.332,0.077,52.562,0.034,45.287,0.038,38.035,0.005,38.956,0.139,44.829,0.034,53.427,0.139,49.27,0.034,32.499,1.031,91.8,0.179,57.814,1.031,100.817,0.179,60.096,1.031,98.933,0.179,32.176,0.041,42.979,0,38.432,0.026,55.175,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.973,0.096,32.913,0.014,21.943,0.115,53.204,0.034,47.885,0.043,39.708,0.014,39.874,0.096,44.822,0.048,53.649,0.096,48.561,0.048,32.019,1.072,91.512,0.159,58.483,1.072,100.802,0.159,61.08,1.072,98.131,0.159,31.471,0.021,42.161,0.015,37.883,0.051,54.571,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.789,0.053,33.147,0.01,22.502,0.077,53.344,0.034,49.073,0.034,40.092,0.01,40.701,0.149,45.065,0.019,54.093,0.149,48.306,0.019,31.532,0.985,91.129,0.149,59.064,0.985,100.815,0.149,61.678,0.985,97.283,0.149,30.635,0.031,41.188,0.005,37.103,0.036,53.51,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.659,0.077,32.85,0.014,22.903,0.096,53.353,0.014,49.496,0.024,40.111,0,41.364,0.096,44.96,0.034,54.454,0.096,47.952,0.034,31.424,1.01,91.094,0.103,60.211,1.01,100.748,0.103,62.601,1.01,96.751,0.103,30.106,0.01,40.365,0.005,36.498,0.056,52.914,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.785,0.048,32.837,0.005,23.198,0.067,53.489,0.024,50.33,0.043,40.397,0.005,42.156,0.125,45.212,0.043,54.549,0.125,47.602,0.043,31.286,1.123,90.92,0.154,60.931,1.123,100.298,0.154,63.795,1.123,96.333,0.154,28.868,0.036,39.181,0.01,35.861,0.036,51.923,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.759,0.038,32.766,0.005,23.513,0.082,53.249,0.043,50.709,0.062,40.167,0.005,43.101,0.12,45.526,0.019,54.757,0.12,46.922,0.019,31.043,1.128,90.276,0.149,61.602,1.128,100.3,0.149,64.483,1.128,95.096,0.149,28.266,0.041,38.458,0.021,35.434,0.026,51.138,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.856,0.077,32.702,0.019,24.005,0.091,53.379,0.024,51.234,0.029,40.381,0.005,43.493,0.125,45.139,0.034,55.047,0.125,46.585,0.034,30.765,1.138,89.81,0.113,62.494,1.138,100.435,0.113,65.31,1.138,94.147,0.113,27.916,0.026,37.664,0.031,34.798,0.036,50.367,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.489,0.091,32.305,0.024,24.297,0.072,53.355,0.029,50.796,0.024,39.606,0.005,43.912,0.091,45.105,0.038,55.465,0.091,46.385,0.038,30.886,1.128,89.382,0.149,63.259,1.128,99.943,0.149,66.216,1.128,93.473,0.149,27.655,0,37.414,0.01,34.312,0.021,49.775,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.752,0.082,32.17,0.019,24.642,0.082,53.351,0.024,51.373,0.058,39.947,0,44.779,0.077,45.332,0.029,55.622,0.077,46.239,0.029,30.969,1.092,88.703,0.113,64.346,1.092,99.808,0.113,67.325,1.092,92.615,0.113,27.152,0.026,36.825,0.005,33.866,0.072,49.002,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.814,0.067,32.12,0.01,24.989,0.135,53.172,0.024,51.899,0.034,40.101,0.014,45.152,0.101,45.07,0.043,55.938,0.101,46.062,0.043,31.104,1.082,88.56,0.113,65.665,1.082,99.743,0.113,68.558,1.082,92.944,0.113,26.713,0.036,36.046,0.01,33.412,0.031,48.566,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.985,0.067,32,0.01,25.165,0.135,53.304,0.038,51.36,0.043,39.605,0.01,45.708,0.125,45.041,0.034,56.116,0.125,45.75,0.034,31.144,1.015,87.951,0.133,66.133,1.015,99.462,0.133,69.13,1.015,91.058,0.133,26.254,0.021,35.477,0.021,33.102,0.005,47.811,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.094,0.053,31.333,0,25.701,0.087,53.277,0.029,52.129,0.043,39.714,0.005,46.46,0.077,45.047,0.043,55.727,0.077,45.072,0.043,31.063,0.841,86.673,0.108,66.97,0.841,99.031,0.108,69.982,0.841,89.549,0.108,25.672,0.026,34.827,0.01,32.539,0.005,47.255,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.661,0.062,31.796,0,26.188,0.091,53.437,0.029,52.4,0.087,39.893,0,46.892,0.106,45.025,0.014,56.084,0.106,44.768,0.014,31.127,0.99,86.005,0.149,67.637,0.99,98.677,0.149,70.549,0.99,88.131,0.149,25.239,0.026,34.238,0.015,32.207,0.031,46.602,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.86,0.077,31.47,0.01,26.613,0.087,53.623,0.014,52.319,0.014,39.769,0,47.69,0.135,45.322,0.048,56.218,0.135,44.569,0.048,31.298,0.821,85.317,0.128,68.64,0.821,98.372,0.128,71.185,0.821,87.117,0.128,24.88,0.031,33.704,0.015,31.802,0.026,45.912,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.112,0.038,31.149,0.014,26.979,0.072,53.437,0.024,52.744,0.053,39.876,0.01,48.192,0.106,45.091,0.019,56.302,0.106,44.368,0.019,31.892,0.99,85.047,0.154,69.944,0.99,98.554,0.154,72.66,0.99,87.188,0.154,24.393,0.046,33.207,0.01,31.35,0.041,45.387,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.577,0.038,30.973,0.01,27.48,0.125,53.493,0.029,52.808,0.034,39.819,0.01,48.159,0.087,45.018,0.048,56.915,0.087,44.577,0.048,32.291,0.8,84.899,0.149,70.931,0.8,98.027,0.149,73.153,0.8,86.319,0.149,24.25,0.015,32.751,0.005,31.18,0.026,45.058,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.402,0.062,31.248,0.014,27.879,0.082,53.606,0.038,53.472,0.034,40.016,0.014,48.877,0.115,45.127,0.014,57.161,0.115,44.629,0.014,33.031,0.928,84.508,0.154,72.011,0.928,98.093,0.154,74.109,0.928,85.833,0.154,23.946,0.01,32.227,0.031,30.683,0.051,44.423,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.693,0.072,31.091,0,28.091,0.12,53.519,0.014,52.716,0.019,39.477,0.01,49.593,0.082,45.393,0.034,57.055,0.082,44.33,0.034,33.312,0.928,83.835,0.128,73.164,0.928,97.731,0.128,75.086,0.928,85.349,0.128,23.442,0.026,31.425,0.015,30.202,0.051,43.6,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.203,0.043,30.62,0.01,28.42,0.125,53.33,0.014,53.351,0.067,39.385,0.01,50.16,0.096,45.29,0.034,56.811,0.096,43.752,0.034,34.282,1.021,83.998,0.169,74.657,1.021,97.95,0.169,76.138,1.021,84.841,0.169,22.92,0.021,30.818,0.015,29.654,0.067,42.757,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.794,0.101,30.427,0.029,29.12,0.091,53.705,0.029,53.317,0.019,39.479,0.014,50.693,0.067,45.16,0.019,56.724,0.067,43.713,0.019,35.027,0.867,83.84,0.138,75.727,0.867,97.755,0.138,77.199,0.867,84.699,0.138,22.472,0.026,30.094,0.026,29.265,0.046,42.046,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
