Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG
3.615,0.533,19.296,0.033,7.589,0.533,31.324,0.033,22.957,0.167,91.184,0,15.479,0.167,78.709,0,46.863,0.167,185.664,0,48.79,0.167,168.89,0,15.07,0.233,90.607,0,17.144,0.233,90.632,0,16.026,1.333,48.894,0,35.235,0.033,108.868,0,37.486,0.033,101.476,0,12.927,0.167,45.888,0,20.113,0.167,71.614,0,16.334,0.071,92.631,0
5.104,0.533,28.871,0,7.524,0.533,31.2,0,22.638,0.267,90.971,0,15.452,0.267,78.221,0,46.704,0.1,185.593,0,48.465,0.1,167.865,0,14.946,0,89.69,0.033,17.574,0,91.502,0.033,15.776,1,48.552,0,35.089,0.067,108.354,0,37.05,0.067,101.725,0,12.463,0.067,44.059,0,19.724,0.067,70.768,0,16.413,0.125,93.797,0
4.437,0.433,25.44,0,7.419,0.433,30.799,0,22.695,0.2,91.689,0,15.505,0.2,78.408,0,46.816,0.1,185.414,0,48.542,0.1,168.324,0,15.041,0.033,89.5,0,17.542,0.033,90.689,0,15.719,1.233,48.43,0.033,34.162,0.167,107.959,0,36.563,0.167,100.655,0,12.944,0.033,45.155,0.033,19.79,0.033,71.245,0.033,16.678,0.089,95.045,0
4.97,0.7,28.318,0,7.262,0.7,29.802,0,22.599,0.233,91.106,0,15.401,0.233,78.316,0,46.914,0.033,185.179,0,48.441,0.033,168.308,0,15.014,0.067,88.967,0,17.241,0.067,90.908,0,15.552,1.267,48.348,0,33.34,0.167,107.783,0.067,36.523,0.167,101.098,0.067,12.966,0.2,44.986,0,19.821,0.2,71.71,0,16.876,0,95.143,0
3.15,0.3,17.084,0,7.287,0.3,29.95,0,22.263,0.167,90.774,0,15.42,0.167,78.174,0,46.705,0.1,185.423,0,48.118,0.1,168.188,0,15.046,0.1,88.951,0,17.61,0.1,90.612,0,15.297,1.1,48.286,0,32.801,0.133,107.623,0,35.885,0.133,100.063,0,12.738,0.067,44.712,0,19.594,0.067,70.609,0,16.833,0.143,95.534,0
4.548,0.433,25.827,0,7.508,0.433,31.255,0,22.384,0.233,91.435,0,15.492,0.233,78.185,0,46.85,0.067,185.024,0.033,48.215,0.067,168.399,0.033,15.067,0.033,88.433,0.033,17.677,0.033,91.061,0.033,15.142,1.167,47.697,0,33.103,0.067,106.943,0,35.402,0.067,99.116,0,12.89,0.1,44.841,0,19.353,0.1,69.987,0,16.962,0.143,95.708,0.018
3.432,0.433,21.652,0,7.218,0.433,30.731,0,22.314,0.333,91.176,0.033,15.371,0.333,78.389,0.033,46.715,0,184.918,0,45.381,0,161.063,0,15.327,0.1,88.431,0,17.636,0.1,90.847,0,15.066,0.833,47.9,0.067,31.644,0.133,106.584,0,35.151,0.133,98.915,0,12.279,0.067,42.802,0,19.317,0.067,70.656,0,17.045,0.214,95.153,0
4.617,0.3,27.82,0,7.415,0.3,31.102,0,22.179,0.133,90.914,0,15.476,0.133,78.165,0,46.801,0.1,184.506,0,48.079,0.1,167.718,0,14.945,0.033,87.725,0,17.66,0.033,90.285,0,14.891,1.6,47.324,0,32.274,0,107.39,0,34.588,0,97.501,0,12.78,0,44.093,0,19.327,0,69.938,0,17.163,0.089,96.03,0
4.55,0.467,25.823,0,7.343,0.467,30.908,0,22.238,0.2,91.366,0,15.527,0.2,78.398,0,46.823,0.067,184.692,0,47.971,0.067,167.423,0,15.148,0.133,87.438,0,17.563,0.133,90.484,0,14.731,1.5,47.637,0.033,31.765,0.033,106.233,0,34.207,0.033,97.205,0,12.233,0.2,42.474,0,19.266,0.2,69.954,0,17.284,0.054,96.031,0
4.918,0.5,28.762,0,7.313,0.5,31.451,0,22.08,0.167,91.517,0,15.704,0.167,78.78,0,46.543,0,184.498,0.033,47.138,0,167.446,0.033,14.997,0.167,87.192,0,17.812,0.167,90.261,0,14.559,1.267,47.523,0,31.685,0.2,106.299,0,34.289,0.2,98.205,0,12.267,0.167,42.848,0,19.307,0.167,69.701,0,17.316,0.107,96.407,0.018
5.076,0.567,28.904,0.033,7.451,0.567,31.007,0.033,21.857,0.233,91.557,0,15.538,0.233,78.397,0,46.922,0,184.215,0,47.432,0,167.471,0,14.999,0.1,86.922,0,18.096,0.1,90.115,0,14.5,1.267,47.235,0,31.386,0.033,106.119,0.067,34.184,0.033,98.291,0.067,12.258,0.033,43.002,0,18.99,0.033,69.565,0,17.398,0.143,95.923,0.018
5.09,0.367,29.1,0,7.329,0.367,30.999,0,21.777,0.4,91.123,0,15.621,0.4,78.669,0,46.872,0.033,183.978,0.033,47.361,0.033,167,0.033,15.079,0.1,86.71,0,18.036,0.1,89.852,0,14.293,1.067,46.722,0,31.283,0.167,106.395,0,33.859,0.167,98.475,0,12.098,0.067,42.027,0.033,19.013,0.067,69.342,0.033,17.37,0.036,96,0
5.007,0.633,28.73,0,7.254,0.633,30.776,0,21.698,0.167,91.806,0,15.729,0.167,78.296,0,46.83,0.067,183.895,0,47.033,0.067,167.667,0,15.415,0.067,86.773,0,18.055,0.067,90.594,0,14.059,1.067,46.015,0,31.379,0.067,106.482,0,33.865,0.067,97.943,0,11.987,0.1,41.259,0,19.054,0.1,69.255,0,17.643,0.161,96.266,0
5.045,0.467,28.859,0,7.369,0.467,30.731,0,21.771,0.133,91.12,0,15.649,0.133,78.76,0,46.64,0.1,183.514,0,46.819,0.1,167.024,0,15.457,0.033,86.838,0.033,18.213,0.033,89.783,0.033,13.962,1.433,46.536,0.033,31.281,0.1,106.37,0,33.691,0.1,97.743,0,11.848,0.133,41.19,0,19.105,0.133,69.844,0,17.605,0.161,96.287,0
4.952,0.567,28.95,0,7.307,0.567,30.814,0,21.427,0.233,90.72,0,15.632,0.233,78.18,0,46.667,0.033,183.249,0,46.636,0.033,166.524,0,15.553,0.2,86.559,0.033,17.946,0.2,90.165,0.033,13.714,0.867,45.073,0,31.747,0.1,105.858,0,33.432,0.1,97.147,0,11.941,0.1,41.66,0,19.11,0.1,70.134,0,17.659,0.179,96.23,0
4.994,0.333,28.564,0,7.211,0.333,30.945,0,21.224,0.267,90.784,0.033,15.675,0.267,78.048,0.033,46.756,0.133,182.837,0,46.791,0.133,167.13,0,15.823,0.067,86.08,0,18.243,0.067,88.883,0,13.851,1,46.381,0,31.112,0,105.598,0.033,33.257,0,96.592,0.033,11.48,0.1,39.729,0.033,18.698,0.1,69.753,0.033,17.645,0.089,96.597,0
4.919,0.333,28.678,0,7.304,0.333,31.049,0,21.079,0.2,90.985,0,15.806,0.2,78.094,0,46.5,0.033,183.489,0,46.323,0.033,166.092,0,15.835,0.067,85.875,0,18.236,0.067,89.897,0,13.471,0.867,44.636,0.033,30.76,0.1,105.799,0,32.113,0.1,95.034,0,11.306,0.133,39.426,0,18.667,0.133,69.522,0,17.546,0.143,96.365,0.018
4.963,0.267,28.48,0,7.199,0.267,30.757,0,21.135,0.267,91.239,0,15.624,0.267,78.456,0,46.392,0.1,182.91,0,47.034,0.1,166.102,0,15.7,0.067,86.21,0,18.437,0.067,89.303,0,13.825,1.3,45.632,0.033,28.064,0.067,92.142,0,29.754,0.067,91.792,0,11.739,0.1,41.008,0,19.061,0.1,69.4,0,17.786,0.054,96.306,0
4.947,0.533,28.644,0,7.285,0.533,30.798,0,21.068,0.167,90.641,0.033,15.786,0.167,77.472,0.033,46.601,0.033,182.989,0,45.253,0.033,165.56,0,15.858,0.067,85.188,0,18.153,0.067,89.637,0,13.645,1.4,45.489,0,30.619,0.133,105.244,0,33.123,0.133,97.236,0,11.774,0.133,41.101,0,18.645,0.133,69.217,0,17.71,0.089,96.548,0.018
5.064,0.167,28.514,0.033,7.196,0.167,30.733,0.033,21.059,0.133,90.591,0,15.722,0.133,77.761,0,46.762,0,182.249,0.033,46.575,0,166.333,0.033,15.848,0,84.793,0,18.302,0,90.269,0,13.434,1.267,45.613,0,30.865,0.033,105.797,0,33.023,0.033,96.708,0,11.757,0.1,41.193,0,18.382,0.1,69.294,0,17.816,0.089,96.788,0
5.05,0.3,28.211,0,7.266,0.3,30.431,0,20.667,0.133,89.913,0,15.854,0.133,77.446,0,46.236,0.033,181.503,0,46.585,0.033,166.806,0,15.966,0.067,85.844,0.067,18.349,0.067,90.257,0.067,13.519,1,45.309,0,30.066,0.1,105.466,0,32.815,0.1,96.795,0,11.536,0.067,40.332,0,18.624,0.067,69.296,0,17.728,0.071,96.856,0
4.879,0.467,28.16,0,7.127,0.467,30.603,0,20.71,0.133,90.308,0.067,15.893,0.133,77.569,0.067,46.713,0.033,182.785,0,46.585,0.033,165.917,0,16.325,0.033,85.399,0.033,18.628,0.033,90.853,0.033,13.459,1.067,45.338,0.033,30.954,0.067,105.591,0,32.665,0.067,96.824,0,11.484,0.133,41.086,0,18.508,0.133,68.847,0,17.878,0.143,96.929,0
5.045,0.4,28.17,0,7.325,0.4,30.434,0,20.491,0.233,89.916,0,15.746,0.233,77.759,0,46.447,0.067,182.233,0,46.356,0.067,165.226,0,16.604,0,85.755,0,18.381,0,90.075,0,13.61,1.133,45.507,0,31.365,0.067,104.66,0.033,21.063,0.067,64.634,0.033,11.187,0.1,40.07,0,18.634,0.1,69.35,0,17.947,0.107,96.494,0
5.065,0.533,28.241,0,7.148,0.533,30.648,0,20.402,0.267,90.118,0,15.772,0.267,77.68,0,46.64,0,182.31,0,45.85,0,165.718,0,16.534,0.067,84.898,0,18.35,0.067,89.789,0,13.559,1,45.457,0,30.849,0.067,106.034,0,20.204,0.067,68.566,0,11.715,0.067,41.801,0,18.67,0.067,68.651,0,17.959,0.054,96.648,0
5.198,0.533,28.155,0,7.186,0.533,30.234,0,19.955,0.167,89.805,0,15.948,0.167,77.273,0,46.018,0.033,179.608,0,46.383,0.033,165.79,0,16.491,0.067,84.578,0,18.21,0.067,89.654,0,13.321,1.367,44.811,0.033,31.215,0.1,104.895,0,32.003,0.1,95.503,0,11.509,0.067,40.603,0,18.344,0.067,68.094,0,18.158,0.143,96.948,0
5.055,0.333,28.069,0,7.242,0.333,30.337,0,20.292,0.2,89.515,0,15.904,0.2,77.745,0,33.373,0.2,159.313,0,46.226,0.2,165.331,0,16.633,0.033,84.838,0.033,18.218,0.033,89.878,0.033,13.48,1.133,45.203,0,30.95,0.033,105.943,0,31.786,0.033,95.296,0,10.838,0.033,39.246,0,18.107,0.033,67.56,0,18.121,0.036,97.002,0
5.06,0.367,28.076,0,7.36,0.367,30.365,0,20.109,0.1,89.698,0,16.158,0.1,78.424,0,46.229,0.1,181.668,0,45.94,0.1,165.373,0,16.793,0,84.559,0.033,18.66,0,89.404,0.033,13.368,1.167,45.159,0.1,30.847,0.133,105.105,0,31.922,0.133,95.547,0,10.701,0,39.473,0,18.186,0,68.105,0,18.316,0.107,97.185,0
4.958,0.3,27.875,0.033,7.35,0.3,30.491,0.033,20.075,0.2,90.496,0,16.133,0.2,78.122,0,46.461,0.067,181.975,0.033,45.961,0.067,164.986,0.033,16.98,0.067,84.46,0,18.409,0.067,89.444,0,13.518,0.867,45.212,0,31.744,0.067,105.347,0,27.556,0.067,84.449,0,10.529,0.067,39.997,0.033,18.061,0.067,68.79,0.033,18.234,0.125,97.343,0.018
4.981,0.333,27.873,0.067,7.162,0.333,30.362,0.067,19.95,0.167,89.825,0,16.133,0.167,77.967,0,46.502,0,181.232,0,45.05,0,164.139,0,16.971,0.067,84.602,0,18.536,0.067,89.195,0,13.434,0.933,44.867,0,30.895,0.167,105.475,0,21.138,0.167,71.402,0,11.022,0,40.992,0.033,18.336,0,68.686,0.033,17.961,0.107,97.324,0.018
5.133,0.567,28.273,0,7.362,0.567,30.534,0,19.855,0.167,89.776,0,16.248,0.167,77.668,0,46.434,0.1,181.303,0,45.554,0.1,164.352,0,17.143,0.033,84.32,0.033,18.402,0.033,89.137,0.033,13.165,1.133,44.58,0.033,32.002,0,105.486,0,29.584,0,88.107,0,10.646,0.033,40.241,0.033,18.173,0.033,68.385,0.033,18.249,0.036,97.15,0.036
5.018,0.4,28.024,0,7.362,0.4,30.499,0,19.486,0.233,89.494,0,16.152,0.233,77.533,0,45.614,0.033,180.933,0,45.853,0.033,164.458,0,17.308,0.033,84.45,0.033,18.792,0.033,90.094,0.033,13.25,1.5,44.62,0,31.966,0.067,105.39,0,14.668,0.067,42.081,0,10.803,0,39.866,0,18.258,0,67.805,0,18.29,0.143,97.022,0
4.944,0.467,27.703,0.033,7.257,0.467,30.666,0.033,19.536,0.3,90.325,0,16.398,0.3,77.926,0,46.317,0.167,181.464,0,43.517,0.167,161.087,0,17.331,0.067,84.377,0.033,18.577,0.067,89.382,0.033,13.19,1.1,44.75,0.033,31.55,0.133,104.87,0.033,27.192,0.133,83.851,0.033,10.971,0.1,42.208,0,18.875,0.1,69.533,0,18.327,0,96.913,0
4.952,0.3,27.606,0.033,7.289,0.3,30.191,0.033,19.069,0.167,89.104,0,16.024,0.167,77.589,0,46.11,0.033,181.237,0,45.165,0.033,163.867,0,17.429,0.167,84.217,0,18.581,0.167,89.831,0,13.319,1.533,44.183,0.033,32.018,0.1,105.281,0,30.463,0.1,92.094,0,11.204,0,41.843,0,18.079,0,68.038,0,18.177,0.054,96.993,0
4.954,0.267,27.627,0,7.29,0.267,29.55,0,18.968,0.067,89.816,0,15.861,0.067,76.386,0,45.865,0.067,181.165,0.033,45.314,0.067,164.358,0.033,17.697,0.033,84.167,0,18.703,0.033,89.411,0,13.163,1,44.057,0.033,32.032,0.067,105.589,0,30.315,0.067,91.703,0,11.363,0.1,42.254,0,18.299,0.1,69.857,0,18.375,0.054,97.642,0.018
