kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG,kl-3_17-488,kl-3_17-BG,kl-3_17-568,kl-3_17-BG
24.336,1.11,27.942,0.2,18.291,0.059,36.63,0.015,24.555,0.491,29.677,0.046,39.287,0.07,33.793,0.013,57.956,0.07,42.548,0.013,25.14,0.178,74.202,0.034,29.567,0.178,52.446,0.034,35.803,0.077,57.56,0.038,41.658,0.077,59.898,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.732,1.152,27.992,0.13,18.522,0.069,36.727,0.017,24.602,0.472,29.329,0.027,38.629,0.051,33.606,0.021,58.934,0.051,42.19,0.021,23.77,0.163,73.647,0.048,26.999,0.163,51.915,0.048,35.136,0.077,56.693,0.014,40.764,0.077,59.127,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.052,1.11,28.211,0.196,18.495,0.051,36.353,0.01,24.332,0.436,28.746,0.032,37.431,0.074,32.729,0.021,59.435,0.074,41.857,0.021,22.556,0.13,72.58,0.067,26.425,0.13,53.139,0.067,34.629,0.188,55.958,0.005,40.123,0.188,58.11,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.547,1.103,28.152,0.099,19.308,0.084,37.058,0.019,24.225,0.571,28.359,0.03,37.102,0.097,32.313,0.021,60.091,0.097,41.752,0.021,21.72,0.13,72.557,0.038,22.912,0.13,49.639,0.038,33.808,0.144,54.92,0.043,38.941,0.144,56.802,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.979,1.01,28.343,0.147,19.509,0.048,37.195,0.017,24.109,0.516,28.006,0.061,36.512,0.07,32.023,0.01,60.866,0.07,41.393,0.01,20.99,0.139,72.167,0.058,21.682,0.139,49.522,0.058,32.962,0.096,53.746,0.034,37.717,0.096,55.694,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.358,1.017,28.448,0.156,20.009,0.048,37.643,0.017,24.042,0.442,27.816,0.044,36.378,0.069,31.664,0.011,61.318,0.069,41.16,0.011,20.28,0.173,71.907,0.048,20.455,0.173,48.887,0.048,32.495,0.154,52.785,0.034,37.179,0.154,54.758,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.768,1.063,28.438,0.15,20.307,0.08,37.664,0.025,23.789,0.482,27.109,0.038,35.25,0.065,30.867,0.004,61.515,0.065,40.805,0.004,19.791,0.183,71.524,0.029,16.686,0.183,41.735,0.029,31.55,0.149,51.675,0.019,36.289,0.149,53.536,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.185,1.055,28.333,0.177,20.466,0.05,37.441,0.011,23.839,0.518,26.873,0.034,35.26,0.103,30.585,0.013,62.425,0.103,40.704,0.013,19.1,0.144,70.842,0.038,17.716,0.144,47.755,0.038,31.086,0.154,50.919,0.072,36.043,0.154,52.565,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.65,1.03,28.573,0.177,20.874,0.032,37.577,0.03,23.753,0.499,26.592,0.044,35.121,0.09,30.132,0.017,63.199,0.09,40.301,0.017,18.531,0.159,70.507,0.043,17.66,0.159,50.941,0.043,30.739,0.188,50.109,0.062,35.288,0.188,51.921,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.102,0.985,28.577,0.139,21.066,0.059,37.358,0.013,23.847,0.474,26.446,0.036,35.234,0.055,29.93,0.011,63.848,0.055,40.169,0.011,18.248,0.202,70.207,0.019,15.578,0.202,46.519,0.019,30.128,0.125,49.307,0.038,35.005,0.125,51.435,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.485,1.004,28.613,0.179,21.404,0.057,37.541,0.01,24.024,0.543,26.418,0.032,35.446,0.057,30.058,0.011,64.781,0.057,40.307,0.011,17.702,0.12,69.595,0.038,15.904,0.12,50.598,0.038,29.562,0.125,48.352,0.048,34.211,0.125,50.275,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.86,0.977,28.65,0.145,21.415,0.074,37.124,0.01,24.047,0.505,26.119,0.025,35.522,0.076,29.718,0.015,65.314,0.076,39.892,0.015,17.766,0.115,69.715,0.043,14.078,0.115,46.26,0.043,29.128,0.202,47.596,0.043,33.682,0.202,49.661,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.266,0.987,28.671,0.16,22.015,0.048,37.594,0.027,23.93,0.44,25.844,0.038,35.256,0.061,29.452,0.011,65.509,0.061,39.494,0.011,17.407,0.13,69.452,0.034,12.907,0.13,43.898,0.034,28.672,0.163,46.876,0.024,33.424,0.163,49.079,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.778,0.992,28.681,0.13,22.331,0.044,37.566,0.025,23.912,0.535,25.423,0.042,35.203,0.065,29.069,0.015,66.181,0.065,39.468,0.015,16.947,0.183,68.734,0.043,11.995,0.183,42.565,0.043,28.458,0.178,46.404,0.048,33.144,0.178,48.291,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.205,0.916,28.618,0.141,22.813,0.048,37.796,0.008,23.857,0.512,25.16,0.053,35.27,0.07,28.746,0.015,66.512,0.07,39.371,0.015,16.785,0.197,67.986,0.043,11.719,0.197,42.182,0.043,27.848,0.192,45.506,0.072,32.506,0.192,47.66,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.633,0.93,28.79,0.135,23.179,0.057,37.735,0.013,24.038,0.528,25.148,0.038,35.76,0.069,28.625,0.013,67.022,0.069,39.046,0.013,16.561,0.12,67.579,0.048,11.135,0.12,43.06,0.048,27.51,0.221,44.858,0.024,31.993,0.221,46.77,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.034,0.794,28.831,0.147,23.485,0.055,37.768,0.025,24.305,0.486,25.252,0.038,36.573,0.063,28.714,0.013,68.115,0.063,39.128,0.013,16.611,0.135,67.871,0.019,11.081,0.135,44.124,0.019,27.214,0.212,44.321,0.082,31.806,0.212,46.657,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.535,0.836,28.841,0.133,23.827,0.046,37.889,0.017,24.741,0.47,25.458,0.036,37.776,0.074,28.89,0.01,69.323,0.074,39.424,0.01,16.496,0.12,66.983,0.043,10.528,0.12,42.51,0.043,26.968,0.216,43.879,0.091,31.757,0.216,46.065,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.072,0.966,28.933,0.149,24.183,0.051,37.959,0.021,24.718,0.543,25.202,0.03,37.69,0.063,28.592,0.019,69.423,0.063,39.17,0.019,16.519,0.111,66.798,0.029,10.35,0.111,43.541,0.029,26.601,0.236,43.106,0.053,31.289,0.236,45.809,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.333,0.884,28.959,0.131,24.511,0.057,37.829,0.03,24.475,0.505,24.778,0.044,37.445,0.07,28.253,0.017,69.438,0.07,38.732,0.017,16.517,0.139,66.811,0.029,9.781,0.139,42.436,0.029,26.071,0.202,42.314,0.062,30.616,0.202,45.084,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
