Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG,Pgd_15-488,Pgd_15-BG,Pgd_15-568,Pgd_15-BG,Pgd_16-488,Pgd_16-BG,Pgd_16-568,Pgd_16-BG,Pgd_17-488,Pgd_17-BG,Pgd_17-568,Pgd_17-BG,Pgd_18-488,Pgd_18-BG,Pgd_18-568,Pgd_18-BG,Pgd_19-488,Pgd_19-BG,Pgd_19-568,Pgd_19-BG,Pgd_20-488,Pgd_20-BG,Pgd_20-568,Pgd_20-BG,Pgd_21-488,Pgd_21-BG,Pgd_21-568,Pgd_21-BG,Pgd_22-488,Pgd_22-BG,Pgd_22-568,Pgd_22-BG,Pgd_23-488,Pgd_23-BG,Pgd_23-568,Pgd_23-BG,Pgd_24-488,Pgd_24-BG,Pgd_24-568,Pgd_24-BG
21.562,2.19,41.56,0.718,18.848,2.19,51.245,0.718,21.57,0.382,62.308,0.146,77.313,0.382,70.041,0.146,16.221,0.532,24.715,0.12,26.867,0.532,24.36,0.12,30.062,0.447,27.978,0.1,29.474,0.447,30.234,0.1,23.522,0.018,31.853,0.018,14.29,0.017,56.329,0.013,20.316,0.017,62.629,0.013,14.959,0.017,53.844,0.013,19.131,0.235,50.731,0.055,23.79,0.235,53.665,0.055,19.719,0.235,60.795,0.055,51.89,0.017,60.181,0.015,48.011,0.017,49.165,0.015,41.266,0.278,57.324,0.19,25.667,0.025,60.053,0.009,11.663,0.085,20.606,0.028,17.233,0.032,50.654,0.018,31.366,0.166,68.562,0.121,55.984,0.01,72.466,0.01,32.74,0.01,87.487,0.01
21.166,2.202,41.007,0.67,18.345,2.202,49.492,0.67,21.161,0.37,61.889,0.137,75.719,0.37,70.397,0.137,15.872,0.51,23.25,0.102,27.365,0.51,24.936,0.102,29.629,0.413,27.928,0.09,29.235,0.413,29.474,0.09,22.913,0.029,31.629,0.01,14.148,0.013,56.138,0.008,20.332,0.013,62.586,0.008,15.004,0.013,53.751,0.008,18.984,0.279,50.223,0.063,23.744,0.279,53.946,0.063,19.96,0.279,60.709,0.063,52.402,0.013,60.139,0.012,47.644,0.013,49.009,0.012,41.254,0.271,56.276,0.202,24.211,0.03,59.761,0.005,11.699,0.075,20.505,0.036,16.788,0.018,49.851,0.016,30.809,0.149,68.279,0.121,55.457,0.014,70.38,0.016,33.582,0.014,86.262,0.016
21.167,2.178,41.008,0.695,18.482,2.178,49.9,0.695,21.394,0.321,62.026,0.128,74.186,0.321,70.017,0.128,16.407,0.507,23.562,0.101,25.499,0.507,22.897,0.101,29.85,0.435,28.266,0.092,29.87,0.435,29.591,0.092,21.843,0.023,30.986,0.023,14.037,0.027,56.037,0.006,20.113,0.027,62.293,0.006,14.982,0.027,53.345,0.006,19.017,0.267,49.533,0.062,23.701,0.267,54.442,0.062,20.244,0.267,60.606,0.062,52.865,0.014,59.995,0.014,47.504,0.014,48.865,0.014,41.08,0.281,55.177,0.198,22.943,0.015,59.046,0.012,11.487,0.062,20.65,0.02,16.263,0.028,49.026,0.016,30.546,0.129,67.82,0.122,58.098,0.017,72.791,0.012,34.731,0.017,87.227,0.012
21.426,2.139,41.476,0.719,19.163,2.139,50.798,0.719,21.586,0.393,62.25,0.149,72.638,0.393,69.75,0.149,16.669,0.526,23.149,0.11,26.851,0.526,24.102,0.11,29.822,0.406,27.824,0.086,30.204,0.406,29.353,0.086,21.516,0.021,31.091,0.016,13.923,0.025,55.781,0.015,19.968,0.025,62.183,0.015,14.895,0.025,53.278,0.015,18.759,0.26,48.485,0.067,24.023,0.26,55.351,0.067,20.572,0.26,60.338,0.067,53.325,0.024,59.973,0.02,47.239,0.024,48.804,0.02,41.344,0.256,54.812,0.167,21.957,0.024,58.907,0.013,11.411,0.059,20.698,0.033,15.934,0.036,48.675,0.024,30.268,0.159,67.443,0.091,60.515,0.017,75.287,0.014,36.34,0.017,88.861,0.014
21.228,2.123,41.2,0.722,19.166,2.123,50.888,0.722,21.463,0.389,62.429,0.154,70.561,0.389,69.451,0.154,17.076,0.504,23.004,0.102,25.068,0.504,22.432,0.102,29.345,0.434,27.715,0.088,30.199,0.434,29.066,0.088,20.873,0.018,30.855,0.017,13.809,0.023,55.296,0.017,19.855,0.023,61.809,0.017,14.694,0.023,52.692,0.017,18.641,0.227,47.592,0.063,24.564,0.227,56.659,0.063,20.932,0.227,60.205,0.063,53.653,0.038,59.909,0.012,47.389,0.038,48.671,0.012,41.484,0.287,54.184,0.191,20.703,0.021,58.592,0.009,11.315,0.07,20.529,0.03,15.678,0.021,48.378,0.018,30.011,0.164,67.348,0.108,62.779,0.017,77.395,0.009,37.666,0.017,89.745,0.009
21.117,2.072,41.35,0.715,19.155,2.072,50.814,0.715,21.237,0.408,62.161,0.145,68.902,0.408,69.097,0.145,17.776,0.511,23.143,0.098,26.504,0.511,23.879,0.098,29.086,0.436,27.299,0.083,30.822,0.436,29.226,0.083,20.839,0.021,31.132,0.018,13.807,0.023,55.432,0.008,19.823,0.023,61.511,0.008,14.894,0.023,52.798,0.008,18.597,0.232,47.059,0.058,24.806,0.232,57.5,0.058,21.444,0.232,60.329,0.058,53.922,0.025,59.897,0.015,47.258,0.025,48.6,0.015,41.519,0.291,53.7,0.2,19.557,0.014,58.194,0.016,11.212,0.063,20.426,0.024,15.469,0.033,48.093,0.016,29.783,0.16,66.633,0.111,64.53,0.012,79.012,0.01,39.015,0.012,90.369,0.01
20.959,2.152,41.077,0.725,19.046,2.152,49.989,0.725,21.194,0.387,62.164,0.151,67.147,0.387,69.381,0.151,17.474,0.525,22.317,0.125,27.449,0.525,24.762,0.125,28.849,0.396,26.893,0.08,30.188,0.396,28.373,0.08,20.013,0.014,30.574,0.017,13.635,0.023,54.725,0.017,19.622,0.023,61.155,0.017,14.812,0.023,51.619,0.017,18.756,0.237,46.793,0.052,25.166,0.237,57.511,0.052,22.033,0.237,60.419,0.052,54.177,0.02,59.704,0.016,47.232,0.02,48.606,0.016,41.611,0.303,53.572,0.234,18.404,0.014,57.635,0.015,11.179,0.063,20.456,0.03,15.102,0.023,47.802,0.008,29.622,0.146,66.156,0.116,65.851,0.013,79.986,0.009,40.289,0.013,90.9,0.009
20.738,2.1,40.919,0.709,18.872,2.1,49.575,0.709,20.904,0.353,61.825,0.137,65.107,0.353,69.075,0.137,17.796,0.501,22.204,0.107,27.413,0.501,24.631,0.107,28.878,0.415,27.156,0.08,30.331,0.415,28.256,0.08,19.215,0.009,29.952,0.017,13.567,0.011,54.517,0.017,19.603,0.011,60.821,0.017,14.877,0.011,51.748,0.017,19.095,0.252,46.599,0.06,25.61,0.252,57.67,0.06,22.721,0.252,60.52,0.06,54.468,0.017,59.91,0.013,47.083,0.017,48.602,0.013,41.331,0.263,52.399,0.205,17.487,0.017,57.424,0.008,11.179,0.068,20.389,0.021,15.091,0.031,47.583,0.017,29.707,0.119,66.176,0.106,66.175,0.009,79.091,0.009,40.947,0.009,90.248,0.009
20.963,2.221,41.116,0.701,19.213,2.221,50.391,0.701,21.224,0.388,62.315,0.142,63.58,0.388,68.902,0.142,17.636,0.521,21.351,0.124,27.538,0.521,24.629,0.124,28.481,0.433,26.608,0.08,30.179,0.433,27.861,0.08,18.756,0.016,29.684,0.013,13.771,0.013,54.523,0.011,19.974,0.013,60.909,0.011,15.172,0.013,51.7,0.011,18.811,0.23,45.727,0.069,26.439,0.23,59.75,0.069,23.231,0.23,60.183,0.069,54.211,0.018,59.656,0.02,46.952,0.018,48.518,0.02,40.764,0.252,51.539,0.218,16.693,0.016,57.258,0.014,11.141,0.067,20.26,0.021,14.769,0.023,47.556,0.018,29.64,0.142,65.923,0.1,66.481,0.012,77.7,0.01,41.929,0.012,89.378,0.01
20.835,2.091,40.979,0.721,19.185,2.091,50.227,0.721,21.405,0.403,62.047,0.147,61.67,0.403,68.483,0.147,17.587,0.491,20.952,0.11,27.421,0.491,24.598,0.11,28.585,0.374,26.459,0.095,30.018,0.374,27.479,0.095,18.63,0.014,29.586,0.019,13.925,0.017,54.561,0.011,20.477,0.017,61.225,0.011,15.561,0.017,51.917,0.011,18.885,0.238,45.029,0.067,27.033,0.238,60.496,0.067,23.81,0.238,60.098,0.067,54.369,0.03,59.342,0.013,46.713,0.03,48.407,0.013,40.659,0.278,50.639,0.215,16.007,0.022,57.109,0.015,11.161,0.065,20.271,0.023,14.674,0.021,47.313,0.016,29.732,0.143,65.515,0.114,63.319,0.014,72.719,0.006,41.735,0.014,87.042,0.006
