6-Pgd_KK_1-405,6-Pgd_KK_1-BG,6-Pgd_KK_1-568,6-Pgd_KK_1-BG,6-Pgd_KK_2-405,6-Pgd_KK_2-BG,6-Pgd_KK_2-568,6-Pgd_KK_2-BG,6-Pgd_KK_3-405,6-Pgd_KK_3-BG,6-Pgd_KK_3-568,6-Pgd_KK_3-BG,6-Pgd_KK_4-405,6-Pgd_KK_4-BG,6-Pgd_KK_4-568,6-Pgd_KK_4-BG,6-Pgd_KK_5-405,6-Pgd_KK_5-BG,6-Pgd_KK_5-568,6-Pgd_KK_5-BG,6-Pgd_KK_6-405,6-Pgd_KK_6-BG,6-Pgd_KK_6-568,6-Pgd_KK_6-BG,6-Pgd_KK_7-405,6-Pgd_KK_7-BG,6-Pgd_KK_7-568,6-Pgd_KK_7-BG,6-Pgd_KK_8-405,6-Pgd_KK_8-BG,6-Pgd_KK_8-568,6-Pgd_KK_8-BG,6-Pgd_KK_9-405,6-Pgd_KK_9-BG,6-Pgd_KK_9-568,6-Pgd_KK_9-BG,6-Pgd_KK_10-405,6-Pgd_KK_10-BG,6-Pgd_KK_10-568,6-Pgd_KK_10-BG,6-Pgd_KK_11-405,6-Pgd_KK_11-BG,6-Pgd_KK_11-568,6-Pgd_KK_11-BG,6-Pgd_KK_12-405,6-Pgd_KK_12-BG,6-Pgd_KK_12-568,6-Pgd_KK_12-BG,6-Pgd_KK_13-405,6-Pgd_KK_13-BG,6-Pgd_KK_13-568,6-Pgd_KK_13-BG,6-Pgd_KK_14-405,6-Pgd_KK_14-BG,6-Pgd_KK_14-568,6-Pgd_KK_14-BG,6-Pgd_KK_15-405,6-Pgd_KK_15-BG,6-Pgd_KK_15-568,6-Pgd_KK_15-BG,6-Pgd_KK_16-405,6-Pgd_KK_16-BG,6-Pgd_KK_16-568,6-Pgd_KK_16-BG,6-Pgd_KK_17-405,6-Pgd_KK_17-BG,6-Pgd_KK_17-568,6-Pgd_KK_17-BG,6-Pgd_KK_18-405,6-Pgd_KK_18-BG,6-Pgd_KK_18-568,6-Pgd_KK_18-BG
42.92,0.143,57.731,0.029,24.577,0.143,34.956,0,22.448,0.057,75.014,0,14.689,0.057,57.16,0,22.193,0.086,78.21,0,17.284,0.029,42.201,0,17.358,0.13,50.366,0,32.481,1.452,72.027,0.048,18.206,1.452,47.274,0.167,25.543,0,64.412,0.143,23.453,0,62.325,0.143,27.085,0,76.138,0,19.253,0,55.758,0,27.909,0,73.552,0.042,42.227,0,95.235,0,38.89,0,76.324,0.028,56.667,0,137.32,0.028,44.504,0,107.361,0.028
40.997,0.229,56.275,0,24.025,0.114,34.126,0,22.354,0.086,75.124,0.057,14.696,0.086,56.727,0.057,22.336,0.114,78.934,0.029,17.483,0.114,42.7,0,17.495,0.136,50.74,0.006,32.222,1.095,72.255,0.167,18.157,1.095,47.22,0.071,25.514,1,63.347,0.2,23.187,1,61.985,0.2,26.119,0,74.85,0,19.4,0,55.983,0,27.649,0,72.97,0,41.985,0,94.7,0,38.452,0,75.986,0.014,55.906,0,137.632,0.014,44.138,0,106.496,0.014
39.878,0.286,55.348,0,23.368,0.086,33.96,0,21.691,0.086,74.435,0.029,14.52,0.086,56.033,0.029,21.983,0.143,77.859,0,17.288,0.057,41.918,0,17.464,0.117,50.648,0,32.262,1.214,72.171,0.071,18.097,1.214,47.066,0.048,24.647,0,62.273,0.086,23.036,0,61.565,0.086,26.682,0,74.743,0.014,19.13,0,55.358,0.014,27.573,0,73.061,0.028,41.933,0,94.622,0.014,38.322,0,76.084,0.028,56.158,0,138.101,0.028,43.877,0,106.771,0.028
39.334,0.143,55.531,0,22.619,0.257,33.471,0,21.702,0.286,74.089,0,14.391,0.286,56.043,0,21.552,0.2,77.274,0.057,17.304,0.029,42.156,0,17.454,0.13,50.348,0,32.303,1.119,72.412,0.048,18.06,1.119,47.536,0.048,24.311,0,61.702,0.029,22.707,0,61.543,0.029,25.973,0,73.437,0.014,19.183,0,54.905,0.014,27.609,0,73.302,0.014,41.487,0,94.498,0.014,37.487,0,74.361,0.014,55.842,0,137.242,0.014,43.709,0,107.021,0.014
38.727,0.286,54.972,0.029,22.571,0.114,33.306,0.029,21.171,0.114,72.923,0,14.042,0.114,55.67,0,21.019,0.029,76.03,0.029,17.442,0.257,42.486,0,17.416,0.123,50.253,0.006,32.201,1.048,72.465,0.048,18.458,1.048,47.626,0.024,24.913,1,62.38,0.029,23,1,61.647,0.029,26.143,0,74.172,0,18.538,0,53.763,0,27.104,0,73.08,0,41.503,0,94.596,0.028,37.303,0,75.179,0.028,56.248,0,138.466,0.028,43.697,0,106.982,0.028
37.727,0.257,54.657,0,22.205,0.029,33.032,0.029,21.138,0.171,73.222,0.057,14.002,0.171,55.396,0.057,21.081,0.057,76.338,0,17.252,0.143,42.404,0,17.29,0.084,50.225,0,32.065,1.262,72.283,0.024,18.466,1.262,47.248,0.119,24.036,0,61.92,0.143,22.646,0,60.967,0.143,25.45,0,71.937,0,18.414,0,54.168,0,27.638,0,73.362,0.028,41.209,0,93.637,0.014,38.124,0,75.893,0.028,54.587,0,137.715,0.028,42.768,0,105.592,0.028
37.387,0.171,54.571,0,21.96,0.114,32.835,0,20.984,0.257,73.077,0,14.072,0.257,55.253,0,20.745,0,75.102,0,17.24,0.143,41.987,0,17.517,0.11,50.181,0,32.291,1.452,72.298,0.119,18.305,1.452,47.319,0.024,23.172,0,61.684,0.057,22.434,0,60.531,0.057,24.499,0,68.938,0,18.604,0,53.836,0,27.561,0,73.344,0,41.11,0,94.033,0.014,37.697,0,75.52,0.042,55.398,0,136.758,0.042,42.76,0,104.762,0.042
37.295,0.114,54.407,0,21.871,0.086,33.082,0.029,20.522,0.114,72.54,0,12.369,0.114,51.492,0,20.63,0.057,75.43,0.029,17.224,0,42.364,0,17.557,0.11,50.47,0,32.306,1.071,72.214,0.024,18.522,1.071,47.297,0.095,23.139,1,61.154,0.029,22.13,1,60.48,0.029,24.538,0,70.298,0,18.297,0,53.303,0,28.025,0,73.512,0.014,40.967,0,92.963,0.014,36.758,0,74.662,0.014,54.618,0,136.581,0.014,42.87,0,105.297,0.014
37.044,0.2,53.856,0,21.455,0.057,33.059,0,20.148,0.057,72.457,0,13.718,0.057,54.642,0,20.458,0.114,75.171,0.057,17.263,0.057,42.319,0,17.627,0.11,50.614,0.013,32.456,1.119,72.304,0.095,18.382,1.119,47.617,0.143,22.981,0,60.446,0.086,21.977,0,60.025,0.086,23.794,0,68.725,0,18.563,0,54.181,0,27.758,0,73.612,0,40.292,0,90.941,0,36.492,0,75.361,0.028,54.121,0,136.926,0.028,42.3,0,104.764,0.028
36.208,0.257,54.067,0,21.205,0.086,32.605,0,20.043,0.057,71.473,0,13.464,0.057,53.967,0,19.952,0.143,74.225,0,17.251,0.143,42.404,0.029,17.603,0.117,50.207,0.006,32.429,1.214,72.227,0.143,18.315,1.214,47.26,0,22.448,1,59.832,0.057,21.987,1,59.822,0.057,23.636,0,68.129,0,17.844,0,53.174,0,27.778,0,73.337,0.056,40.443,0,91.614,0.028,38.27,0,76.235,0.069,53.119,0,135.17,0.069,41.934,0,104.091,0.069
35.998,0.114,54.278,0,20.736,0.114,32.349,0,19.904,0.029,71.305,0.029,13.268,0.029,53.661,0.029,19.705,0.114,73.292,0,17.377,0.029,42.384,0,17.666,0.084,50.078,0.006,32.622,1.071,73.043,0,18.345,1.071,47.149,0.143,22.288,0,59.815,0.057,21.841,0,59.528,0.057,23.537,0,68.194,0,16.893,0,49.603,0,27.914,0,73.402,0.028,40.417,0,92.252,0,37.455,0,76.958,0.083,53.203,0,134.064,0.083,41.214,0,103.123,0.083
35.548,0.057,54.257,0,20.577,0.114,31.859,0,19.634,0.114,71.075,0.029,13.199,0.114,53.774,0.029,19.675,0.086,72.927,0,17.269,0.143,42.416,0,17.653,0.123,50.166,0,32.215,1.048,72.236,0.143,18.391,1.048,47.482,0.071,22.385,0,59.647,0.057,21.683,0,59.171,0.057,23.288,0,68.007,0.042,17.697,0,53.499,0.042,27.775,0,73.498,0.014,39.667,0,91.234,0,37.664,0,76.42,0.056,53.078,0,134.813,0.056,41.154,0,103.659,0.056
35.196,0.114,53.876,0,20.091,0.029,31.739,0.029,19.642,0.171,70.653,0,13.075,0.171,53.084,0,19.322,0.029,72.036,0,16.191,0.029,40.075,0,17.805,0.143,50.076,0.006,32.436,1,72.391,0.071,18.519,1,47.592,0.167,22.12,0,59.01,0.086,21.625,0,59.344,0.086,22.535,0,63.622,0.028,18.326,0,53.673,0.028,27.412,0,73.354,0.014,39.654,0,91.729,0,37.375,0,76.212,0.042,52.136,0,134.698,0.042,41.19,0,103.556,0.042
35.021,0.171,54.16,0,19.974,0.114,31.289,0,19.326,0,70.701,0,12.941,0,53.189,0,19.165,0.057,71.755,0,16.72,0.114,41.255,0,17.724,0.136,49.829,0,32.243,1,72.531,0.167,18.53,1,47.776,0.095,22.249,1,59.383,0.029,21.648,1,59.639,0.029,23.008,0,67.067,0.014,18.154,0,52.954,0.014,27.374,0,73.016,0.069,39.955,0,91.086,0,37.639,0,77.823,0.028,51.593,0,134.018,0.028,40.515,0,102.2,0.028
34.947,0.286,53.843,0,19.726,0.114,31.162,0,19.251,0.143,69.923,0,12.724,0.143,52.496,0,19.313,0.143,71.719,0.057,17.167,0.2,42.27,0,17.754,0.084,49.504,0.019,32.175,1,72.92,0.095,18.331,1,47.465,0.214,22.056,0,58.915,0.143,21.593,0,58.924,0.143,22.328,0,65.628,0.014,17.409,0,51.283,0.014,27.419,0,72.969,0,39.534,0,91.608,0,37.513,0,77.179,0.042,52.741,0,133.885,0.042,40.756,0,102.052,0.042
34.267,0.2,53.884,0,19.606,0.029,31.086,0.029,18.162,0.057,64.588,0,12.7,0.057,52.072,0,19.198,0.143,71.739,0,17.239,0.057,42.367,0,17.961,0.13,50.143,0,32.385,1,72.56,0.214,18.479,1,47.764,0.19,21.445,1,58.384,0.057,21.387,1,58.698,0.057,21.852,0,64.957,0,17.65,0,52.17,0,27.963,0,73.433,0.056,40.039,0,92.842,0.042,37.436,0,76.937,0.069,51.865,0,134.832,0.069,40.689,0,102.639,0.069
