C199S_1,C199S1_BG,C199S_2,C199S2_BG,C199S_3,C199S3_BG,C199S4,C199S4_BG,C199S5,C199S5_BG,C199S6,C199S6_BG,C199S7,C199S7_BG,C199S8,C199S8_BG,C199S9,C199S9_BG,C199S10,C199S10_BG,C199S11,C199S11_BG,C199S12,C199S12_BG,C199S13,C199S13_BG,C199S14,C199S14_BG,C199S15,C199S15_BG,C199S16,C199S16_BG
4.874,0.368,6.381,0.267,5.964,0.298,13.968,1.502,10.108,0.77,7.432,0.267,6.77,0.418,9.874,0.418,8.646,0.143,7.703,0.24,8.957,0.528,11.275,0.462,1.769,0.651,8.757,0.682,7.856,0.682,9.794,0.419
4.784,0.366,6.309,0.3,5.933,0.336,13.845,1.691,10.03,0.724,7.421,0.277,6.665,0.454,9.897,0.454,8.564,0.107,7.543,0.23,8.937,0.534,11.319,0.478,1.725,0.646,8.807,0.606,7.8,0.606,9.677,0.365
4.807,0.464,6.293,0.292,5.931,0.372,13.699,1.579,9.941,0.668,7.435,0.271,6.63,0.423,9.71,0.423,8.545,0.153,7.575,0.173,8.911,0.52,11.212,0.466,1.747,0.669,8.634,0.619,7.766,0.619,9.678,0.377
4.825,0.401,6.157,0.285,5.929,0.314,13.587,1.644,9.84,0.714,7.404,0.249,6.628,0.393,9.697,0.393,8.547,0.122,7.525,0.153,8.87,0.522,11.188,0.542,1.749,0.718,8.697,0.63,7.73,0.63,9.678,0.406
4.818,0.385,6.131,0.318,5.927,0.304,13.479,1.519,9.755,0.765,7.427,0.273,6.529,0.388,9.565,0.388,8.501,0.128,7.51,0.163,8.879,0.485,11.201,0.48,1.749,0.648,8.649,0.594,7.659,0.594,9.62,0.378
4.76,0.443,6.216,0.308,5.851,0.267,13.468,1.469,9.75,0.796,7.421,0.271,6.583,0.429,9.583,0.429,8.458,0.158,7.462,0.184,8.977,0.528,11.132,0.526,1.74,0.661,8.654,0.627,7.702,0.627,9.639,0.378
4.796,0.372,6.226,0.308,5.859,0.312,13.442,1.431,9.815,0.658,7.396,0.298,6.617,0.423,9.714,0.423,8.472,0.148,7.5,0.173,8.987,0.531,11.142,0.494,1.757,0.704,8.624,0.658,7.704,0.658,9.659,0.404
4.776,0.346,6.24,0.257,5.845,0.35,13.331,1.411,9.743,0.867,7.331,0.237,6.443,0.342,9.416,0.342,8.463,0.148,7.476,0.158,8.855,0.533,11.032,0.512,1.767,0.675,8.664,0.605,7.705,0.605,9.684,0.417
4.781,0.389,6.187,0.281,5.844,0.308,13.046,1.419,9.419,0.684,7.297,0.31,6.508,0.372,9.491,0.372,8.428,0.168,7.424,0.138,8.876,0.544,11.005,0.45,1.744,0.646,8.528,0.602,7.673,0.602,9.584,0.349
4.789,0.417,6.168,0.3,5.854,0.397,13.057,1.325,9.465,0.796,7.271,0.419,6.375,0.423,9.28,0.423,8.459,0.122,7.429,0.168,8.979,0.49,11.091,0.464,1.729,0.686,8.503,0.626,7.697,0.626,9.582,0.365
4.776,0.372,6.169,0.294,5.819,0.291,13.137,1.366,9.575,0.689,7.334,0.462,6.541,0.434,9.469,0.434,8.512,0.102,7.493,0.224,8.99,0.539,11.25,0.485,1.775,0.723,8.541,0.656,7.688,0.656,9.573,0.36
4.781,0.37,6.164,0.291,5.819,0.334,13.303,1.517,9.592,0.689,7.399,0.457,6.583,0.388,9.424,0.388,8.534,0.133,7.509,0.219,8.932,0.518,11.209,0.454,1.762,0.707,8.522,0.64,7.697,0.64,9.563,0.388
4.818,0.403,6.111,0.271,5.844,0.302,13.264,1.407,9.648,0.791,7.454,0.397,6.621,0.418,9.409,0.418,8.549,0.209,7.473,0.189,8.994,0.509,11.172,0.416,1.753,0.686,8.579,0.606,7.669,0.606,9.608,0.391
4.753,0.346,6.113,0.233,5.84,0.296,13.298,1.459,9.611,0.663,7.353,0.405,6.443,0.434,9.211,0.434,8.5,0.112,7.401,0.199,8.969,0.573,11.243,0.411,1.77,0.71,8.553,0.611,7.703,0.611,9.547,0.34
4.806,0.433,6.156,0.296,5.782,0.273,13.271,1.445,9.638,0.765,7.363,0.435,6.545,0.48,9.351,0.48,8.541,0.122,7.479,0.153,8.97,0.493,11.347,0.464,1.768,0.718,8.585,0.592,7.715,0.592,9.731,0.412
4.769,0.427,6.146,0.261,5.804,0.31,13.203,1.419,9.547,0.755,7.373,0.403,6.519,0.378,9.344,0.378,8.596,0.163,7.474,0.194,9.079,0.49,11.4,0.504,1.782,0.677,8.652,0.664,7.754,0.664,9.777,0.368
4.751,0.344,6.123,0.235,5.776,0.314,13.216,1.452,9.631,0.77,7.394,0.383,6.514,0.398,9.257,0.398,8.542,0.148,7.445,0.204,9.033,0.506,11.49,0.426,1.764,0.696,8.686,0.602,7.731,0.602,9.72,0.408
4.779,0.368,6.151,0.269,5.741,0.263,13.185,1.471,9.537,0.658,7.379,0.379,6.541,0.352,9.327,0.352,8.561,0.128,7.482,0.245,9.114,0.554,11.595,0.47,1.785,0.682,8.625,0.549,7.756,0.549,9.693,0.396
4.712,0.389,6.151,0.209,5.757,0.294,13.111,1.452,9.452,0.75,7.312,0.411,6.583,0.464,9.189,0.464,8.61,0.097,7.468,0.204,9.112,0.549,11.467,0.438,1.785,0.648,8.657,0.614,7.76,0.614,9.715,0.4
4.705,0.403,6.165,0.225,5.73,0.277,13.102,1.431,9.4,0.862,7.373,0.381,6.509,0.439,9.204,0.439,8.508,0.189,7.424,0.184,9.152,0.502,11.447,0.408,1.807,0.686,8.749,0.619,7.832,0.619,9.807,0.393
4.788,0.379,6.181,0.249,5.721,0.294,13.132,1.452,9.466,0.77,7.329,0.399,6.57,0.327,9.276,0.327,8.616,0.148,7.419,0.255,9.153,0.534,11.571,0.478,1.803,0.653,8.743,0.632,7.775,0.632,9.737,0.413
4.84,0.423,6.122,0.239,5.75,0.302,13.182,1.493,9.501,0.781,7.354,0.429,6.536,0.403,9.026,0.403,8.583,0.168,7.446,0.245,9.159,0.536,11.554,0.373,1.76,0.67,8.686,0.597,7.751,0.597,9.738,0.429
4.793,0.389,6.145,0.235,5.782,0.322,13.059,1.39,9.351,0.786,7.277,0.429,6.564,0.5,9.218,0.5,8.641,0.163,7.464,0.163,9.129,0.534,11.656,0.426,1.812,0.691,8.659,0.685,7.778,0.685,9.701,0.371
4.788,0.368,6.128,0.261,5.736,0.314,12.972,1.438,9.329,0.735,7.263,0.443,6.507,0.444,9.108,0.444,8.668,0.117,7.447,0.199,9.05,0.539,11.517,0.398,1.801,0.686,8.74,0.613,7.835,0.613,9.846,0.33
4.754,0.368,6.138,0.231,5.729,0.279,13.103,1.493,9.296,0.719,7.265,0.458,6.498,0.383,9.118,0.383,8.69,0.117,7.437,0.224,8.993,0.491,11.386,0.437,1.795,0.67,8.729,0.658,7.814,0.658,9.767,0.416
4.748,0.399,6.146,0.247,5.764,0.338,13.137,1.517,9.367,0.755,7.263,0.366,6.536,0.469,9.161,0.469,8.712,0.128,7.423,0.179,9.061,0.584,11.408,0.48,1.76,0.734,8.689,0.59,7.808,0.59,9.769,0.361
4.727,0.379,6.136,0.213,5.717,0.298,13.103,1.356,9.231,0.745,7.334,0.36,6.474,0.388,8.909,0.388,8.652,0.112,7.467,0.199,9.023,0.55,11.372,0.467,1.768,0.674,8.802,0.702,7.838,0.702,9.833,0.392
4.738,0.413,6.121,0.221,5.754,0.31,12.801,1.392,9.044,0.561,7.148,0.366,6.508,0.383,9.117,0.383,8.7,0.153,7.481,0.25,9.018,0.522,11.259,0.403,1.749,0.704,8.771,0.622,7.85,0.622,9.813,0.334
4.799,0.381,6.083,0.289,5.725,0.292,12.731,1.364,8.943,0.689,7.093,0.324,6.589,0.383,9.099,0.383,8.788,0.184,7.525,0.219,9.01,0.578,11.303,0.451,1.74,0.67,8.759,0.629,7.826,0.629,9.729,0.356
4.831,0.356,6.098,0.247,5.737,0.275,12.842,1.333,9.036,0.724,7.105,0.435,6.585,0.311,9.079,0.311,8.788,0.173,7.449,0.24,8.986,0.549,11.326,0.418,1.789,0.704,8.785,0.723,7.869,0.723,9.809,0.416
4.805,0.374,6.132,0.304,5.733,0.326,12.954,1.263,9.121,0.842,7.179,0.37,6.573,0.403,8.98,0.403,8.795,0.148,7.414,0.194,8.995,0.538,11.356,0.443,1.787,0.698,8.852,0.603,7.913,0.603,9.938,0.398
4.808,0.36,6.068,0.31,5.8,0.304,13.056,1.368,9.166,0.653,7.169,0.447,6.539,0.378,9.003,0.378,8.814,0.143,7.478,0.224,8.917,0.544,11.429,0.414,1.761,0.683,8.818,0.674,7.863,0.674,9.958,0.403
4.848,0.379,6.025,0.275,5.738,0.237,13.12,1.536,9.226,0.796,7.191,0.403,6.723,0.434,9.133,0.434,8.91,0.163,7.523,0.199,9.114,0.579,11.538,0.474,1.803,0.69,8.92,0.664,7.939,0.664,10.014,0.359
4.839,0.36,6.046,0.261,5.761,0.296,13.104,1.409,9.16,0.653,7.241,0.37,6.661,0.449,9.078,0.449,8.871,0.158,7.483,0.255,9.175,0.568,11.529,0.402,1.789,0.658,9.01,0.677,7.95,0.677,10.033,0.433
4.832,0.362,6.006,0.277,5.733,0.273,13.136,1.476,9.104,0.724,7.186,0.439,6.607,0.408,8.955,0.408,8.868,0.168,7.434,0.189,9.1,0.498,11.602,0.397,1.794,0.651,8.966,0.704,7.922,0.704,10.047,0.378
4.859,0.372,6.022,0.283,5.786,0.279,13.136,1.419,9.19,0.653,7.168,0.451,6.591,0.398,8.872,0.398,8.807,0.153,7.342,0.224,9.128,0.547,11.522,0.451,1.759,0.682,8.913,0.606,7.914,0.606,9.852,0.413
4.843,0.366,6.014,0.281,5.79,0.291,13.151,1.4,9.129,0.633,7.147,0.36,6.456,0.444,8.73,0.444,8.747,0.158,7.244,0.281,9.149,0.562,11.545,0.458,1.772,0.71,8.96,0.651,7.912,0.651,9.965,0.367
4.849,0.312,6.001,0.32,5.784,0.302,13.212,1.385,9.14,0.735,7.189,0.419,6.359,0.469,8.685,0.469,8.776,0.168,7.349,0.276,9.144,0.541,11.507,0.41,1.787,0.622,8.899,0.595,7.891,0.595,9.986,0.443
4.866,0.375,6.041,0.247,5.727,0.348,13.269,1.421,9.195,0.673,7.217,0.366,6.484,0.362,8.744,0.362,8.854,0.163,7.368,0.219,9.116,0.533,11.603,0.446,1.829,0.685,8.912,0.653,7.904,0.653,9.928,0.422
4.842,0.34,6.022,0.285,5.755,0.302,13.242,1.428,9.147,0.709,7.237,0.403,6.546,0.398,8.835,0.398,8.955,0.163,7.442,0.214,9.177,0.565,11.675,0.448,1.799,0.661,8.95,0.664,7.939,0.664,10.082,0.443
4.852,0.427,6.004,0.298,5.704,0.32,13.273,1.426,9.214,0.694,7.229,0.425,6.615,0.459,8.803,0.459,9.082,0.168,7.556,0.204,9.259,0.526,11.943,0.418,1.819,0.717,9.007,0.651,7.948,0.651,10.066,0.442
4.833,0.368,5.992,0.239,5.713,0.298,13.324,1.471,9.182,0.847,7.216,0.389,6.663,0.418,8.78,0.418,9.142,0.153,7.621,0.255,9.42,0.55,12.112,0.438,1.849,0.738,9.015,0.674,7.936,0.674,10.134,0.368
4.795,0.387,6.129,0.275,5.676,0.3,13.379,1.519,9.124,0.755,7.15,0.478,6.794,0.357,8.915,0.357,9.168,0.122,7.592,0.204,9.372,0.573,12.139,0.432,1.87,0.723,9.078,0.634,7.977,0.634,10.202,0.438
4.798,0.411,6.109,0.289,5.716,0.318,13.318,1.428,9.198,0.607,7.221,0.31,6.773,0.413,9.02,0.413,9.265,0.179,7.756,0.184,9.342,0.589,12.035,0.378,1.822,0.76,9.1,0.632,7.995,0.632,10.205,0.359
4.931,0.34,6.067,0.291,5.737,0.308,13.275,1.333,9.155,0.811,7.143,0.462,6.964,0.49,9.158,0.49,9.412,0.128,7.856,0.194,9.366,0.539,12.154,0.44,1.863,0.726,9.144,0.659,7.969,0.659,10.143,0.437
4.845,0.364,6.024,0.344,5.696,0.298,13.227,1.416,9.099,0.658,7.114,0.472,7.05,0.429,9.217,0.429,9.589,0.128,7.927,0.255,9.398,0.515,12.158,0.424,1.849,0.765,9.096,0.701,7.98,0.701,10.157,0.465
4.855,0.397,6.074,0.296,5.736,0.308,13.298,1.373,9.152,0.689,7.111,0.474,7.122,0.459,9.288,0.459,9.841,0.117,8.077,0.235,9.326,0.517,12.185,0.45,1.833,0.746,9.114,0.664,7.962,0.664,10.189,0.378
4.859,0.435,6.084,0.283,5.7,0.281,13.29,1.416,9.042,0.735,7.119,0.48,7.438,0.408,9.494,0.408,10.068,0.224,8.364,0.189,9.301,0.541,12.021,0.389,1.819,0.739,9.125,0.634,7.938,0.634,10.148,0.416
