G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG,G6Pdh_6-488,G6Pdh_6-BG,G6Pdh_6-568,G6Pdh_6-BG,G6Pdh_7-488,G6Pdh_7-BG,G6Pdh_7-568,G6Pdh_7-BG,G6Pdh_8-488,G6Pdh_8-BG,G6Pdh_8-568,G6Pdh_8-BG,G6Pdh_9-488,G6Pdh_9-BG,G6Pdh_9-568,G6Pdh_9-BG,G6Pdh_10-488,G6Pdh_10-BG,G6Pdh_10-568,G6Pdh_10-BG,G6Pdh_11-488,G6Pdh_11-BG,G6Pdh_11-568,G6Pdh_11-BG,G6Pdh_12-488,G6Pdh_12-BG,G6Pdh_12-568,G6Pdh_12-BG,G6Pdh_13-488,G6Pdh_13-BG,G6Pdh_13-568,G6Pdh_13-BG,G6Pdh_14-488,G6Pdh_14-BG,G6Pdh_14-568,G6Pdh_14-BG,G6Pdh_15-488,G6Pdh_15-BG,G6Pdh_15-568,G6Pdh_15-BG,G6Pdh_16-488,G6Pdh_16-BG,G6Pdh_16-568,G6Pdh_16-BG,G6Pdh_17-488,G6Pdh_17-BG,G6Pdh_17-568,G6Pdh_17-BG,G6Pdh_18-488,G6Pdh_18-BG,G6Pdh_18-568,G6Pdh_18-BG,G6Pdh_19-488,G6Pdh_19-BG,G6Pdh_19-568,G6Pdh_19-BG,G6Pdh_20-488,G6Pdh_20-BG,G6Pdh_20-568,G6Pdh_20-BG,G6Pdh_21-488,G6Pdh_21-BG,G6Pdh_21-568,G6Pdh_21-BG,G6Pdh_22-488,G6Pdh_22-BG,G6Pdh_22-568,G6Pdh_22-BG
23.276,0.181,44.817,0.038,11.891,0.181,39.752,0.038,17.866,0.181,54.029,0.038,43.247,0.042,36.173,0.01,39.346,0.042,40.695,0.01,14.751,0.01,27.115,0.035,4.987,0.021,49.906,0.017,3.959,0.021,17.298,0.017,12.686,0.014,35.446,0.01,30.115,0.028,84.396,0.007,11.052,0.017,35.568,0,36.865,0.074,44.351,0.045,35.283,0.074,59.199,0.045,37.78,0.074,51.826,0.045,18.3,0.035,52.891,0.019,9.867,0.023,35.955,0.023,9.043,0.023,33.663,0.023,41.373,0.393,60.826,0.207,30.472,0.393,36.48,0.207,42.575,0.424,79.016,0.248,28.211,0.045,44.147,0.039,64.186,0.045,69.478,0.039
22.383,0.194,44.23,0.083,11.572,0.194,38.986,0.083,17.707,0.194,54.469,0.083,42.576,0.035,35.822,0.01,39.349,0.035,40.322,0.01,14.582,0.031,27.299,0.007,4.973,0.014,49.885,0.021,3.928,0.014,17.242,0.021,13.04,0.014,36.847,0.014,30.145,0.031,83.92,0.007,11.167,0.014,35.352,0.017,36.385,0.054,43.674,0.031,35.4,0.054,58.735,0.031,38.121,0.054,51.637,0.031,17.979,0.035,52.736,0.01,9.828,0.021,35.367,0.019,9.408,0.021,33.624,0.019,41.738,0.374,60.683,0.188,30.468,0.374,36.77,0.188,42.304,0.401,79.543,0.229,27.886,0.033,42.726,0.027,63.497,0.033,68.71,0.027
22.113,0.233,44.037,0.094,11.642,0.233,39.016,0.094,17.732,0.233,54.529,0.094,42.829,0.035,36.079,0.021,39.826,0.035,40.545,0.021,14.652,0.017,27.441,0.007,4.832,0.017,49.349,0.014,3.967,0.017,17.344,0.014,12.831,0.017,35.897,0.01,30.133,0.024,83.452,0.01,11.23,0.017,35.379,0.021,35.985,0.05,42.795,0.039,35.672,0.05,58.546,0.039,38.269,0.05,51.73,0.039,17.753,0.027,52.665,0.008,9.755,0.014,34.887,0.023,9.452,0.014,33.615,0.023,41.525,0.341,60.494,0.198,29.583,0.341,35.602,0.198,41.908,0.329,79.989,0.248,29.839,0.052,44.493,0.029,65.059,0.052,69.657,0.029
22.273,0.236,44.502,0.073,11.927,0.236,39.495,0.073,17.763,0.236,53.971,0.073,42.668,0.021,35.753,0.021,39.951,0.021,40.367,0.021,14.173,0.01,27.143,0.021,4.711,0.014,48.899,0.021,3.89,0.014,17.101,0.021,12.908,0.01,36.302,0.01,30.2,0.035,82.79,0.021,11.395,0.003,35.116,0.014,35.383,0.07,41.982,0.039,35.936,0.07,58.073,0.039,38.403,0.07,51.788,0.039,16.819,0.037,50.179,0.025,9.659,0.017,34.284,0.021,9.63,0.017,33.823,0.021,41.559,0.298,60.455,0.2,29.748,0.298,35.743,0.2,41.419,0.293,80.29,0.174,30.352,0.045,44.257,0.031,65.246,0.045,69.165,0.031
21.518,0.233,44.202,0.076,11.701,0.233,39.087,0.076,17.396,0.233,54.29,0.076,41.988,0.035,35.213,0.017,39.802,0.035,40.025,0.017,14.12,0.028,27.124,0.028,4.559,0.007,48.264,0.024,3.856,0.007,17.09,0.024,12.64,0.007,35.986,0,30.28,0.038,82.318,0.017,11.519,0.017,35.06,0.014,35.559,0.056,41.819,0.048,36.396,0.056,57.946,0.048,38.935,0.056,51.911,0.048,16.468,0.035,49.564,0.012,9.654,0.021,34.274,0.008,9.874,0.021,33.68,0.008,41.84,0.388,60.09,0.209,29.593,0.388,35.341,0.209,41.152,0.275,80.235,0.153,31.935,0.068,45.389,0.045,66.023,0.068,69.266,0.045
21.401,0.253,44.145,0.076,11.709,0.253,39.202,0.076,17.502,0.253,54.126,0.076,42.418,0.035,35.697,0.01,40.314,0.035,40.335,0.01,14.09,0.014,27.338,0.007,4.517,0.014,47.922,0.017,3.817,0.014,17.086,0.017,13.141,0.014,38.05,0.01,30.512,0.021,81.995,0.014,11.608,0.021,34.789,0.014,35.228,0.052,41.226,0.029,36.469,0.052,57.797,0.029,38.809,0.052,51.848,0.029,16.003,0.033,48.456,0.012,9.622,0.027,33.855,0.025,10.04,0.027,33.673,0.025,42.275,0.343,60.097,0.155,28.818,0.343,35.006,0.155,39.069,0.174,79.627,0.095,33.58,0.045,46.758,0.05,66.482,0.045,69.049,0.05
21.109,0.247,43.997,0.076,11.886,0.247,39.099,0.076,17.37,0.247,54.044,0.076,41.458,0.017,34.791,0.014,40.063,0.017,39.671,0.014,13.623,0.017,26.669,0.017,4.287,0.017,46.576,0.021,3.875,0.017,17.064,0.021,13.078,0.01,38.106,0.003,30.753,0.031,81.421,0.003,11.786,0.014,34.883,0.007,34.822,0.048,40.818,0.035,36.755,0.048,57.614,0.035,39.07,0.048,51.878,0.035,15.169,0.021,45.855,0.025,9.593,0.031,33.705,0.012,10.327,0.031,33.485,0.012,42.233,0.372,59.821,0.213,28.7,0.372,34.719,0.213,38.193,0.138,78.606,0.11,34.446,0.06,47.01,0.056,66.563,0.06,69.014,0.056
20.164,0.264,43.587,0.073,11.555,0.264,38.509,0.073,17.152,0.264,54.428,0.073,40.593,0.028,34.258,0.007,39.725,0.028,39.401,0.007,13.768,0.08,26.778,0.038,4.199,0.017,46.326,0.014,3.887,0.017,17.081,0.014,12.809,0.014,36.931,0.014,31.268,0.031,81.74,0.007,11.881,0.014,34.589,0.01,34.477,0.05,40.193,0.039,36.974,0.05,57.315,0.039,38.884,0.05,51.686,0.039,14.719,0.037,44.297,0.012,9.634,0.021,33.25,0.017,10.634,0.021,33.697,0.017,42.404,0.357,59.863,0.207,28.584,0.357,34.22,0.207,36.784,0.105,76.799,0.076,34.726,0.072,46.612,0.035,66.516,0.072,68.844,0.035
20.567,0.205,44.063,0.056,11.863,0.205,39.23,0.056,17.307,0.205,54.084,0.056,40.276,0.031,33.893,0.024,39.687,0.031,39.172,0.024,13.814,0.007,26.911,0.007,4.151,0.01,46.122,0.014,3.893,0.01,17.037,0.014,12.554,0.007,36.738,0.003,31.484,0.038,81.338,0.024,11.907,0.017,34.679,0.024,33.45,0.021,38.777,0.037,37.113,0.021,56.723,0.037,39.239,0.021,52.013,0.037,14.788,0.029,45.33,0.008,9.661,0.021,33.168,0.025,10.666,0.021,34.038,0.025,42.692,0.357,59.778,0.236,28.659,0.357,34.34,0.236,36.475,0.095,76.176,0.064,34.783,0.068,45.849,0.043,66.65,0.068,68.427,0.043
20.017,0.25,43.704,0.073,11.674,0.25,38.78,0.073,17.106,0.25,54.257,0.073,40.296,0.028,33.906,0.024,39.631,0.028,39.153,0.024,13.903,0.017,26.918,0.014,4.201,0.021,46.783,0.021,3.933,0.021,16.955,0.021,12.694,0.003,36.454,0.017,32.018,0.028,80.659,0.003,12.066,0.007,34.385,0.007,33.143,0.05,38.549,0.025,37.526,0.05,56.479,0.025,39.267,0.05,51.955,0.025,13.897,0.029,42.026,0.017,9.656,0.014,32.779,0.027,11.058,0.014,33.587,0.027,42.54,0.38,59.731,0.169,28.323,0.38,34.059,0.169,36.45,0.14,75.819,0.062,33.785,0.052,44.176,0.043,66.329,0.052,68.451,0.043
