kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG
26.898,0.578,8.782,0.611,25.883,0.178,8.744,0.067,55.553,0.322,16.208,0.356,39.676,2.711,23.658,3.033,36.613,2.711,12.108,3.033,40.912,1.878,20.778,1.511,62.113,0.478,25.849,0.478,34.853,2.222,17.867,2.444,44.324,0.144,16.296,0.133,53.854,0.238,16.47,0.286,57.592,0.238,25.288,0.286,79.88,0.413,29.87,0.524,69.29,0.381,23.818,0.349,98.748,0.651,29.498,0.603,55.501,0.651,31.87,0.603,69.92,0.127,26.929,0.19
26.732,0.622,8.577,0.511,25.842,0.256,8.764,0.089,55.311,0.356,16.04,0.356,40.08,2.489,23.056,3.411,36.925,2.489,12.177,3.411,41.054,1.856,20.722,1.744,61.905,0.322,25.256,0.667,34.932,2.389,17.439,2.656,43.801,0.222,16.113,0.167,53.775,0.365,16.116,0.254,57.306,0.365,24.787,0.254,79.154,0.286,29.69,0.27,69.147,0.444,23.602,0.46,98.229,0.413,28.811,0.635,53.66,0.413,30.234,0.635,70.455,0.206,26.521,0.222
26.706,0.533,8.57,0.544,25.546,0.189,8.815,0.089,54.813,0.222,15.674,0.3,39.592,2.244,22.741,3.256,36.799,2.244,11.97,3.256,41.041,1.833,20.637,1.511,61.241,0.289,24.245,0.522,34.802,2.056,17.052,2.822,44.033,0.156,15.829,0.178,53.871,0.317,15.943,0.365,57.129,0.317,24.567,0.365,79.078,0.429,29.479,0.429,68.948,0.333,23.424,0.381,96.66,0.54,28.053,0.587,48.743,0.54,26.948,0.587,70.631,0.175,26.348,0.159
26.428,0.511,8.512,0.6,25.463,0.2,8.757,0.178,54.31,0.367,15.475,0.378,39.646,2.422,22.631,3.278,36.647,2.422,11.856,3.278,40.967,1.989,20.875,1.478,62.236,0.289,24.254,0.478,34.519,1.911,16.563,2.811,43.76,0.178,15.571,0.122,53.296,0.365,15.949,0.349,56.575,0.365,24.111,0.349,78.942,0.333,29.204,0.429,68.46,0.333,23.208,0.333,95.299,0.429,27.177,0.603,40.16,0.429,22.03,0.603,70.233,0.111,25.89,0.159
26.248,0.456,8.497,0.522,25.115,0.3,8.756,0.111,54.37,0.267,15.452,0.267,39.188,2.578,22.318,2.944,36.726,2.578,11.917,2.944,40.685,1.944,20.753,1.722,62.458,0.4,23.974,0.467,34.631,2.333,16.265,2.522,43.574,0.133,15.139,0.078,53.612,0.27,15.667,0.333,55.554,0.27,23.656,0.333,77.711,0.365,29.291,0.397,67.461,0.333,22.976,0.27,93.771,0.429,26.116,0.619,56.279,0.429,29.671,0.619,70.36,0.175,25.637,0.127
25.808,0.578,8.204,0.678,25.374,0.2,8.65,0.089,54.155,0.267,15.474,0.322,39.423,2.344,22.217,2.956,36.684,2.344,11.874,2.956,40.66,2,20.708,1.6,62.198,0.411,23.512,0.467,34.476,2.044,15.982,2.622,43.422,0.233,15.005,0.167,53.473,0.238,15.739,0.254,55.612,0.238,23.417,0.254,78.083,0.206,28.981,0.286,67.453,0.413,22.925,0.286,92.061,0.127,25.104,0.222,57.919,0.127,29.812,0.222,70.1,0.206,25.297,0.111
25.764,0.522,8.359,0.456,25.048,0.189,8.676,0.178,54.175,0.333,15.473,0.389,38.897,2.2,21.981,3.433,36.881,2.2,11.845,3.433,40.505,1.978,20.881,1.656,61.96,0.444,23.18,0.522,34.113,2.2,15.602,2.422,43.219,0.167,14.701,0.178,53.813,0.206,15.58,0.302,55.492,0.206,23.088,0.302,78.303,0.254,28.992,0.349,66.91,0.238,22.474,0.365,90.75,0.429,24.672,0.302,58.09,0.429,29.35,0.302,69.543,0.063,24.999,0.063
25.448,0.567,8.201,0.578,24.892,0.156,8.695,0.167,53.706,0.4,15.248,0.422,38.553,2.2,21.752,2.989,36.53,2.2,11.988,2.989,40.526,2.1,20.722,1.656,62.494,0.511,23.078,0.511,34.301,2.122,15.379,2.422,43.28,0.144,14.362,0.167,53.419,0.19,15.592,0.27,54.642,0.19,22.601,0.27,77.28,0.397,29.002,0.317,65.9,0.27,22.156,0.317,89.046,0.46,24.03,0.571,58.024,0.46,29.156,0.571,69.137,0.063,24.796,0.238
25.681,0.489,8.28,0.467,24.913,0.322,8.574,0.222,53.315,0.389,15.153,0.211,38.644,2.033,21.181,3.089,36.138,2.033,11.759,3.089,40.25,2.011,20.736,1.344,62.307,0.4,22.744,0.378,33.1,2.022,14.483,2.722,43.025,0.133,14.302,0.044,53.768,0.27,15.458,0.254,54.677,0.27,22.576,0.254,77.08,0.333,28.327,0.397,66.021,0.508,22.099,0.302,87.098,0.381,23.454,0.476,58.287,0.381,28.518,0.476,69.254,0.127,24.798,0.175
25.29,0.5,8.132,0.556,24.444,0.222,8.526,0.167,52.998,0.278,14.812,0.256,38.695,2.156,21.269,3.1,35.746,2.156,11.496,3.1,40.477,1.856,20.688,1.611,62.256,0.6,22.428,0.6,34.013,2.178,14.94,2.578,42.898,0.133,14.132,0.144,54.105,0.254,15.506,0.222,54.475,0.254,22.139,0.222,75.979,0.397,27.969,0.381,66.184,0.333,22.084,0.302,86.136,0.381,23.06,0.651,58.411,0.381,28.104,0.651,68.932,0.159,24.543,0.095
